size,type,W,A,d,b,t,k,k_det,x,y,x_p,y_p,lamb,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,I_z,r_z,S_z,J,C_w,r_o,tan_alpha,I_w,z_A,z_B,z_C,w_A,w_B,w_C,S_wA,S_wC,S_zA,S_zB,S_zC,P_A,P_A2,P_B
L8X8X1-1/8,L,56.9 plf,16.8 in ** 2,8.0 in,8.0 in,1.13 in,1.75 in,1.75 in,2.4 in,2.4 in,1.05 in,1.05 in,7.08,98.1 in ** 4,31.6 in ** 3,17.5 in ** 3,2.41 in,98.1 in ** 4,31.6 in ** 3,17.5 in ** 3,2.41 in,40.7 in ** 4,1.56 in,12.0 in ** 3,7.13 in ** 4,32.5 in ** 6,4.29 in,1,155.0 in ** 4,5.26 in,0.0 in,5.26 in,2.66 in,3.39 in,2.66 in,29.5 in ** 3,29.5 in ** 3,15.3 in ** 3,12.0 in ** 3,15.3 in ** 3,24.0 in,24.0 in,32.0 in
L8X8X1,L,51.0 plf,15.1 in ** 2,8.0 in,8.0 in,1.0 in,1.63 in,1.625 in,2.36 in,2.36 in,0.944 in,0.944 in,8,89.1 in ** 4,28.5 in ** 3,15.8 in ** 3,2.43 in,89.1 in ** 4,28.5 in ** 3,15.8 in ** 3,2.43 in,36.8 in ** 4,1.56 in,11.0 in ** 3,5.08 in ** 4,23.4 in ** 6,4.32 in,1,141.0 in ** 4,5.3 in,0.0 in,5.3 in,2.67 in,3.34 in,2.67 in,26.6 in ** 3,26.6 in ** 3,13.8 in ** 3,11.0 in ** 3,13.8 in ** 3,24.0 in,24.0 in,32.0 in
L8X8X7/8,L,45.0 plf,13.3 in ** 2,8.0 in,8.0 in,0.875 in,1.5 in,1.5 in,2.31 in,2.31 in,0.831 in,0.831 in,9.14,79.7 in ** 4,25.3 in ** 3,14.0 in ** 3,2.45 in,79.7 in ** 4,25.3 in ** 3,14.0 in ** 3,2.45 in,32.7 in ** 4,1.57 in,10.0 in ** 3,3.46 in ** 4,16.1 in ** 6,4.36 in,1,127.0 in ** 4,5.35 in,0.0 in,5.35 in,2.7 in,3.27 in,2.7 in,23.7 in ** 3,23.7 in ** 3,12.1 in ** 3,10.0 in ** 3,12.1 in ** 3,24.0 in,24.0 in,32.0 in
L8X8X3/4,L,38.9 plf,11.5 in ** 2,8.0 in,8.0 in,0.75 in,1.38 in,1.375 in,2.26 in,2.26 in,0.719 in,0.719 in,10.7,69.9 in ** 4,22.0 in ** 3,12.2 in ** 3,2.46 in,69.9 in ** 4,22.0 in ** 3,12.2 in ** 3,2.46 in,28.5 in ** 4,1.57 in,8.91 in ** 3,2.21 in ** 4,10.4 in ** 6,4.39 in,1,111.0 in ** 4,5.39 in,0.0 in,5.39 in,2.73 in,3.2 in,2.73 in,20.6 in ** 3,20.6 in ** 3,10.4 in ** 3,8.91 in ** 3,10.4 in ** 3,24.0 in,24.0 in,32.0 in
L8X8X5/8,L,32.7 plf,9.69 in ** 2,8.0 in,8.0 in,0.625 in,1.25 in,1.25 in,2.21 in,2.21 in,0.606 in,0.606 in,12.8,59.6 in ** 4,18.6 in ** 3,10.3 in ** 3,2.48 in,59.6 in ** 4,18.6 in ** 3,10.3 in ** 3,2.48 in,24.2 in ** 4,1.58 in,7.73 in ** 3,1.3 in ** 4,6.16 in ** 6,4.42 in,1,95.0 in ** 4,5.44 in,0.0 in,5.44 in,2.75 in,3.13 in,2.75 in,17.5 in ** 3,17.5 in ** 3,8.8 in ** 3,7.73 in ** 3,8.8 in ** 3,24.0 in,24.0 in,32.0 in
L8X8X9/16,L,29.6 plf,8.77 in ** 2,8.0 in,8.0 in,0.563 in,1.19 in,1.1875 in,2.19 in,2.19 in,0.548 in,0.548 in,14.2,54.2 in ** 4,16.8 in ** 3,9.33 in ** 3,2.49 in,54.2 in ** 4,16.8 in ** 3,9.33 in ** 3,2.49 in,21.9 in ** 4,1.58 in,7.06 in ** 3,0.961 in ** 4,4.55 in ** 6,4.43 in,1,86.4 in ** 4,5.46 in,0.0 in,5.46 in,2.76 in,3.1 in,2.76 in,15.8 in ** 3,15.8 in ** 3,7.93 in ** 3,7.06 in ** 3,7.93 in ** 3,24.0 in,24.0 in,32.0 in
L8X8X1/2,L,26.4 plf,7.84 in ** 2,8.0 in,8.0 in,0.5 in,1.13 in,1.125 in,2.17 in,2.17 in,0.49 in,0.49 in,16,48.8 in ** 4,15.1 in ** 3,8.36 in ** 3,2.49 in,48.8 in ** 4,15.1 in ** 3,8.36 in ** 3,2.49 in,19.8 in ** 4,1.59 in,6.45 in ** 3,0.683 in ** 4,3.23 in ** 6,4.45 in,1,77.9 in ** 4,5.48 in,0.0 in,5.48 in,2.76 in,3.07 in,2.76 in,14.2 in ** 3,14.2 in ** 3,7.17 in ** 3,6.45 in ** 3,7.17 in ** 3,24.0 in,24.0 in,32.0 in
L8X6X1,L,44.2 plf,13.1 in ** 2,6.0 in,8.0 in,1.0 in,1.5 in,1.5 in,1.65 in,2.65 in,0.819 in,1.45 in,8,80.9 in ** 4,27.3 in ** 3,15.1 in ** 3,2.49 in,38.8 in ** 4,16.2 in ** 3,8.92 in ** 3,1.72 in,21.3 in ** 4,1.28 in,7.61 in ** 3,4.34 in ** 4,16.3 in ** 6,3.88 in,0.542,98.4 in ** 4,3.96 in,1.54 in,5.25 in,2.8 in,2.71 in,1.54 in,24.8 in ** 3,18.7 in ** 3,7.61 in ** 3,7.86 in ** 3,13.8 in ** 3,22.0 in,20.0 in,28.0 in
L8X6X7/8,L,39.1 plf,11.5 in ** 2,6.0 in,8.0 in,0.875 in,1.38 in,1.375 in,1.6 in,2.6 in,0.719 in,1.43 in,9.14,72.4 in ** 4,24.3 in ** 3,13.4 in ** 3,2.5 in,34.9 in ** 4,14.4 in ** 3,7.94 in ** 3,1.74 in,18.9 in ** 4,1.28 in,6.7 in ** 3,2.96 in ** 4,11.3 in ** 6,3.92 in,0.546,88.4 in ** 4,4.01 in,1.51 in,5.3 in,2.82 in,2.65 in,1.57 in,22.0 in ** 3,16.7 in ** 3,6.7 in ** 3,7.13 in ** 3,12.0 in ** 3,22.0 in,20.0 in,28.0 in
L8X6X3/4,L,33.8 plf,9.99 in ** 2,6.0 in,8.0 in,0.75 in,1.25 in,1.25 in,1.56 in,2.55 in,0.624 in,1.34 in,10.7,63.5 in ** 4,21.1 in ** 3,11.7 in ** 3,2.52 in,30.8 in ** 4,12.5 in ** 3,6.92 in ** 3,1.75 in,16.6 in ** 4,1.29 in,5.85 in ** 3,1.9 in ** 4,7.28 in ** 6,3.95 in,0.55,77.8 in ** 4,4.05 in,1.48 in,5.35 in,2.84 in,2.6 in,1.59 in,19.2 in ** 3,14.5 in ** 3,5.85 in ** 3,6.38 in ** 3,10.4 in ** 3,22.0 in,20.0 in,28.0 in
L8X6X5/8,L,28.5 plf,8.41 in ** 2,6.0 in,8.0 in,0.625 in,1.13 in,1.125 in,1.51 in,2.5 in,0.526 in,1.27 in,12.8,54.2 in ** 4,17.9 in ** 3,9.86 in ** 3,2.54 in,26.4 in ** 4,10.5 in ** 3,5.88 in ** 3,1.77 in,14.1 in ** 4,1.29 in,4.91 in ** 3,1.12 in ** 4,4.33 in ** 6,3.98 in,0.554,66.5 in ** 4,4.09 in,1.45 in,5.39 in,2.87 in,2.53 in,1.62 in,16.3 in ** 3,12.3 in ** 3,4.91 in ** 3,5.57 in ** 3,8.7 in ** 3,22.0 in,20.0 in,28.0 in
L8X6X9/16,L,25.7 plf,7.61 in ** 2,6.0 in,8.0 in,0.563 in,1.06 in,1.0625 in,1.49 in,2.48 in,0.476 in,1.24 in,14.2,49.4 in ** 4,16.2 in ** 3,8.94 in ** 3,2.55 in,24.1 in ** 4,9.52 in ** 3,5.34 in ** 3,1.78 in,12.8 in ** 4,1.3 in,4.46 in ** 3,0.823 in ** 4,3.2 in ** 6,3.99 in,0.556,60.7 in ** 4,4.11 in,1.44 in,5.41 in,2.87 in,2.51 in,1.62 in,14.8 in ** 3,11.2 in ** 3,4.46 in ** 3,5.1 in ** 3,7.9 in ** 3,22.0 in,20.0 in,28.0 in
L8X6X1/2,L,23.0 plf,6.8 in ** 2,6.0 in,8.0 in,0.5 in,1.0 in,1.0 in,1.46 in,2.46 in,0.425 in,1.2 in,16,44.4 in ** 4,14.6 in ** 3,8.01 in ** 3,2.55 in,21.7 in ** 4,8.52 in ** 3,4.79 in ** 3,1.79 in,11.5 in ** 4,1.3 in,3.98 in ** 3,0.584 in ** 4,2.28 in ** 6,4.01 in,0.557,54.6 in ** 4,4.14 in,1.44 in,5.43 in,2.89 in,2.47 in,1.64 in,13.2 in ** 3,10.1 in ** 3,3.98 in ** 3,4.66 in ** 3,7.01 in ** 3,22.0 in,20.0 in,28.0 in
L8X6X7/16,L,20.2 plf,5.99 in ** 2,6.0 in,8.0 in,0.438 in,0.938 in,0.9375 in,1.44 in,2.43 in,0.374 in,1.15 in,18.3,39.3 in ** 4,12.9 in ** 3,7.06 in ** 3,2.56 in,19.3 in ** 4,7.5 in ** 3,4.23 in ** 3,1.8 in,10.2 in ** 4,1.31 in,3.52 in ** 3,0.396 in ** 4,1.55 in ** 6,4.02 in,0.559,48.4 in ** 4,4.16 in,1.42 in,5.46 in,2.9 in,2.44 in,1.65 in,11.6 in ** 3,8.86 in ** 3,3.52 in ** 3,4.18 in ** 3,6.18 in ** 3,22.0 in,20.0 in,28.0 in
L8X4X1,L,37.4 plf,11.1 in ** 2,4.0 in,8.0 in,1.0 in,1.5 in,1.5 in,1.04 in,3.03 in,0.694 in,2.45 in,8,69.7 in ** 4,24.3 in ** 3,14.0 in ** 3,2.51 in,11.6 in ** 4,7.73 in ** 3,3.94 in ** 3,1.03 in,7.83 in ** 4,0.844 in,3.45 in ** 3,3.68 in ** 4,12.9 in ** 6,3.75 in,0.247,73.4 in ** 4,3.17 in,2.69 in,4.95 in,2.27 in,1.74 in,0.667 in,23.2 in ** 3,14.8 in ** 3,3.45 in ** 3,4.5 in ** 3,11.7 in ** 3,20.0 in,16.0 in,24.0 in
L8X4X7/8,L,33.1 plf,9.79 in ** 2,4.0 in,8.0 in,0.875 in,1.38 in,1.375 in,0.997 in,2.99 in,0.612 in,2.41 in,9.14,62.6 in ** 4,21.7 in ** 3,12.5 in ** 3,2.53 in,10.5 in ** 4,6.77 in ** 3,3.51 in ** 3,1.04 in,6.97 in ** 4,0.846 in,3.04 in ** 3,2.51 in ** 4,8.89 in ** 6,3.78 in,0.252,66.1 in ** 4,3.21 in,2.66 in,4.99 in,2.29 in,1.7 in,0.681 in,20.6 in ** 3,13.2 in ** 3,3.04 in ** 3,4.1 in ** 3,10.2 in ** 3,20.0 in,16.0 in,24.0 in
L8X4X3/4,L,28.7 plf,8.49 in ** 2,4.0 in,8.0 in,0.75 in,1.25 in,1.25 in,0.949 in,2.94 in,0.531 in,2.34 in,10.7,55.0 in ** 4,18.9 in ** 3,10.9 in ** 3,2.55 in,9.37 in ** 4,5.82 in ** 3,3.07 in ** 3,1.05 in,6.14 in ** 4,0.85 in,2.65 in ** 3,1.61 in ** 4,5.75 in ** 6,3.8 in,0.257,58.2 in ** 4,3.24 in,2.61 in,5.04 in,2.32 in,1.65 in,0.704 in,18.0 in ** 3,11.5 in ** 3,2.65 in ** 3,3.72 in ** 3,8.72 in ** 3,20.0 in,16.0 in,24.0 in
L8X4X5/8,L,24.2 plf,7.16 in ** 2,4.0 in,8.0 in,0.625 in,1.13 in,1.125 in,0.902 in,2.89 in,0.448 in,2.27 in,12.8,47.0 in ** 4,16.1 in ** 3,9.2 in ** 3,2.56 in,8.11 in ** 4,4.86 in ** 3,2.62 in ** 3,1.06 in,5.24 in ** 4,0.856 in,2.24 in ** 3,0.955 in ** 4,3.42 in ** 6,3.83 in,0.262,49.9 in ** 4,3.28 in,2.57 in,5.09 in,2.34 in,1.61 in,0.725 in,15.2 in ** 3,9.8 in ** 3,2.24 in ** 3,3.25 in ** 3,7.23 in ** 3,20.0 in,16.0 in,24.0 in
L8X4X9/16,L,21.9 plf,6.49 in ** 2,4.0 in,8.0 in,0.563 in,1.06 in,1.0625 in,0.878 in,2.86 in,0.406 in,2.23 in,14.2,42.9 in ** 4,14.6 in ** 3,8.34 in ** 3,2.57 in,7.44 in ** 4,4.39 in ** 3,2.38 in ** 3,1.07 in,4.78 in ** 4,0.859 in,2.03 in ** 3,0.704 in ** 4,2.53 in ** 6,3.84 in,0.264,45.6 in ** 4,3.29 in,2.54 in,5.12 in,2.36 in,1.58 in,0.736 in,13.9 in ** 3,8.91 in ** 3,2.03 in ** 3,3.03 in ** 3,6.49 in ** 3,20.0 in,16.0 in,24.0 in
L8X4X1/2,L,19.6 plf,5.8 in ** 2,4.0 in,8.0 in,0.5 in,1.0 in,1.0 in,0.854 in,2.84 in,0.363 in,2.2 in,16,38.6 in ** 4,13.1 in ** 3,7.48 in ** 3,2.58 in,6.75 in ** 4,3.91 in ** 3,2.15 in ** 3,1.08 in,4.32 in ** 4,0.863 in,1.82 in ** 3,0.501 in ** 4,1.8 in ** 6,3.86 in,0.266,41.0 in ** 4,3.31 in,2.52 in,5.14 in,2.37 in,1.56 in,0.744 in,12.4 in ** 3,7.98 in ** 3,1.82 in ** 3,2.77 in ** 3,5.81 in ** 3,20.0 in,16.0 in,24.0 in
L8X4X7/16,L,17.2 plf,5.11 in ** 2,4.0 in,8.0 in,0.438 in,0.938 in,0.9375 in,0.829 in,2.81 in,0.319 in,2.16 in,18.3,34.2 in ** 4,11.6 in ** 3,6.59 in ** 3,2.59 in,6.03 in ** 4,3.42 in ** 3,1.9 in ** 3,1.09 in,3.84 in ** 4,0.867 in,1.61 in ** 3,0.34 in ** 4,1.22 in ** 6,3.87 in,0.268,36.4 in ** 4,3.33 in,2.5 in,5.17 in,2.39 in,1.53 in,0.758 in,10.9 in ** 3,7.04 in ** 3,1.61 in ** 3,2.51 in ** 3,5.07 in ** 3,20.0 in,16.0 in,24.0 in
L7X4X3/4,L,26.2 plf,7.74 in ** 2,4.0 in,7.0 in,0.75 in,1.25 in,1.25 in,1.0 in,2.5 in,0.553 in,1.84 in,9.33,37.8 in ** 4,14.8 in ** 3,8.39 in ** 3,2.21 in,9.0 in ** 4,5.6 in ** 3,3.01 in ** 3,1.08 in,5.63 in ** 4,0.855 in,2.56 in ** 3,1.47 in ** 4,3.97 in ** 6,3.31 in,0.324,41.2 in ** 4,2.95 in,2.07 in,4.47 in,2.2 in,1.72 in,0.79 in,14.0 in ** 3,9.22 in ** 3,2.56 in ** 3,3.27 in ** 3,7.13 in ** 3,18.0 in,15.0 in,22.0 in
L7X4X5/8,L,22.1 plf,6.5 in ** 2,4.0 in,7.0 in,0.625 in,1.13 in,1.125 in,0.958 in,2.45 in,0.464 in,1.8 in,11.2,32.4 in ** 4,12.5 in ** 3,7.12 in ** 3,2.23 in,7.79 in ** 4,4.69 in ** 3,2.56 in ** 3,1.1 in,4.81 in ** 4,0.86 in,2.17 in ** 3,0.868 in ** 4,2.37 in ** 6,3.34 in,0.329,35.4 in ** 4,2.98 in,2.03 in,4.52 in,2.22 in,1.68 in,0.808 in,11.9 in ** 3,7.83 in ** 3,2.17 in ** 3,2.86 in ** 3,5.95 in ** 3,18.0 in,15.0 in,22.0 in
L7X4X1/2,L,17.9 plf,5.26 in ** 2,4.0 in,7.0 in,0.5 in,1.0 in,1.0 in,0.91 in,2.4 in,0.376 in,1.74 in,14,26.6 in ** 4,10.2 in ** 3,5.79 in ** 3,2.25 in,6.48 in ** 4,3.77 in ** 3,2.1 in ** 3,1.11 in,3.94 in ** 4,0.866 in,1.75 in ** 3,0.456 in ** 4,1.25 in ** 6,3.37 in,0.334,29.1 in ** 4,3.02 in,1.99 in,4.57 in,2.25 in,1.62 in,0.834 in,9.64 in ** 3,6.37 in ** 3,1.75 in ** 3,2.43 in ** 3,4.72 in ** 3,18.0 in,15.0 in,22.0 in
L7X4X7/16,L,15.7 plf,4.63 in ** 2,4.0 in,7.0 in,0.438 in,0.938 in,0.9375 in,0.886 in,2.38 in,0.331 in,1.71 in,16,23.6 in ** 4,9.03 in ** 3,5.11 in ** 3,2.26 in,5.79 in ** 4,3.31 in ** 3,1.86 in ** 3,1.12 in,3.5 in ** 4,0.869 in,1.55 in ** 3,0.31 in ** 4,0.851 in ** 6,3.38 in,0.337,25.9 in ** 4,3.04 in,1.97 in,4.59 in,2.26 in,1.6 in,0.846 in,8.52 in ** 3,5.64 in ** 3,1.55 in ** 3,2.19 in ** 3,4.14 in ** 3,18.0 in,15.0 in,22.0 in
L7X4X3/8,L,13.6 plf,4.0 in ** 2,4.0 in,7.0 in,0.375 in,0.875 in,0.875 in,0.861 in,2.35 in,0.286 in,1.67 in,18.7,20.5 in ** 4,7.81 in ** 3,4.42 in ** 3,2.27 in,5.06 in ** 4,2.84 in ** 3,1.61 in ** 3,1.12 in,3.04 in ** 4,0.873 in,1.33 in ** 3,0.198 in ** 4,0.544 in ** 6,3.4 in,0.339,22.5 in ** 4,3.06 in,1.95 in,4.62 in,2.28 in,1.57 in,0.859 in,7.35 in ** 3,4.87 in ** 3,1.33 in ** 3,1.94 in ** 3,3.54 in ** 3,18.0 in,15.0 in,22.0 in
L6X6X1,L,37.4 plf,11.0 in ** 2,6.0 in,6.0 in,1.0 in,1.5 in,1.5 in,1.86 in,1.86 in,0.917 in,0.917 in,6,35.4 in ** 4,15.4 in ** 3,8.55 in ** 3,1.79 in,35.4 in ** 4,15.4 in ** 3,8.55 in ** 3,1.79 in,14.9 in ** 4,1.17 in,5.67 in ** 3,3.68 in ** 4,9.24 in ** 6,3.18 in,1,55.8 in ** 4,3.89 in,0.0 in,3.89 in,1.97 in,2.63 in,1.97 in,14.3 in ** 3,14.3 in ** 3,7.56 in ** 3,5.67 in ** 3,7.56 in ** 3,18.0 in,18.0 in,24.0 in
L6X6X7/8,L,33.1 plf,9.75 in ** 2,6.0 in,6.0 in,0.875 in,1.38 in,1.375 in,1.81 in,1.81 in,0.813 in,0.813 in,6.86,31.9 in ** 4,13.7 in ** 3,7.61 in ** 3,1.81 in,31.9 in ** 4,13.7 in ** 3,7.61 in ** 3,1.81 in,13.3 in ** 4,1.17 in,5.2 in ** 3,2.51 in ** 4,6.41 in ** 6,3.21 in,1,50.5 in ** 4,3.93 in,0.0 in,3.93 in,1.99 in,2.56 in,1.99 in,12.8 in ** 3,12.8 in ** 3,6.68 in ** 3,5.2 in ** 3,6.68 in ** 3,18.0 in,18.0 in,24.0 in
L6X6X3/4,L,28.7 plf,8.46 in ** 2,6.0 in,6.0 in,0.75 in,1.25 in,1.25 in,1.77 in,1.77 in,0.705 in,0.705 in,8,28.1 in ** 4,11.9 in ** 3,6.64 in ** 3,1.82 in,28.1 in ** 4,11.9 in ** 3,6.64 in ** 3,1.82 in,11.6 in ** 4,1.17 in,4.64 in ** 3,1.61 in ** 4,4.17 in ** 6,3.24 in,1,44.6 in ** 4,3.98 in,0.0 in,3.98 in,2.0 in,2.5 in,2.0 in,11.2 in ** 3,11.2 in ** 3,5.8 in ** 3,4.64 in ** 3,5.8 in ** 3,18.0 in,18.0 in,24.0 in
L6X6X5/8,L,24.2 plf,7.13 in ** 2,6.0 in,6.0 in,0.625 in,1.13 in,1.125 in,1.72 in,1.72 in,0.594 in,0.594 in,9.6,24.1 in ** 4,10.1 in ** 3,5.64 in ** 3,1.84 in,24.1 in ** 4,10.1 in ** 3,5.64 in ** 3,1.84 in,9.81 in ** 4,1.17 in,4.04 in ** 3,0.955 in ** 4,2.5 in ** 6,3.28 in,1,38.4 in ** 4,4.02 in,0.0 in,4.02 in,2.03 in,2.43 in,2.03 in,9.55 in ** 3,9.55 in ** 3,4.83 in ** 3,4.04 in ** 3,4.83 in ** 3,18.0 in,18.0 in,24.0 in
L6X6X9/16,L,21.9 plf,6.45 in ** 2,6.0 in,6.0 in,0.563 in,1.06 in,1.0625 in,1.7 in,1.7 in,0.538 in,0.538 in,10.7,22.0 in ** 4,9.18 in ** 3,5.12 in ** 3,1.85 in,22.0 in ** 4,9.18 in ** 3,5.12 in ** 3,1.85 in,8.9 in ** 4,1.18 in,3.71 in ** 3,0.704 in ** 4,1.85 in ** 6,3.29 in,1,35.1 in ** 4,4.04 in,0.0 in,4.04 in,2.04 in,2.4 in,2.04 in,8.69 in ** 3,8.69 in ** 3,4.36 in ** 3,3.71 in ** 3,4.36 in ** 3,18.0 in,18.0 in,24.0 in
L6X6X1/2,L,19.6 plf,5.77 in ** 2,6.0 in,6.0 in,0.5 in,1.0 in,1.0 in,1.67 in,1.67 in,0.481 in,0.481 in,12,19.9 in ** 4,8.22 in ** 3,4.59 in ** 3,1.86 in,19.9 in ** 4,8.22 in ** 3,4.59 in ** 3,1.86 in,8.06 in ** 4,1.18 in,3.42 in ** 3,0.501 in ** 4,1.32 in ** 6,3.31 in,1,31.8 in ** 4,4.07 in,0.0 in,4.07 in,2.06 in,2.36 in,2.06 in,7.81 in ** 3,7.81 in ** 3,3.91 in ** 3,3.42 in ** 3,3.91 in ** 3,18.0 in,18.0 in,24.0 in
L6X6X7/16,L,17.2 plf,5.08 in ** 2,6.0 in,6.0 in,0.438 in,0.938 in,0.9375 in,1.65 in,1.65 in,0.423 in,0.423 in,13.7,17.6 in ** 4,7.25 in ** 3,4.06 in ** 3,1.86 in,17.6 in ** 4,7.25 in ** 3,4.06 in ** 3,1.86 in,7.05 in ** 4,1.18 in,3.03 in ** 3,0.34 in ** 4,0.899 in ** 6,3.32 in,1,28.1 in ** 4,4.09 in,0.0 in,4.09 in,2.06 in,2.33 in,2.06 in,6.87 in ** 3,6.87 in ** 3,3.42 in ** 3,3.03 in ** 3,3.42 in ** 3,18.0 in,18.0 in,24.0 in
L6X6X3/8,L,14.9 plf,4.38 in ** 2,6.0 in,6.0 in,0.375 in,0.875 in,0.875 in,1.62 in,1.62 in,0.365 in,0.365 in,16,15.4 in ** 4,6.27 in ** 3,3.51 in ** 3,1.87 in,15.4 in ** 4,6.27 in ** 3,3.51 in ** 3,1.87 in,6.21 in ** 4,1.19 in,2.71 in ** 3,0.218 in ** 4,0.575 in ** 6,3.34 in,1,24.6 in ** 4,4.11 in,0.0 in,4.11 in,2.08 in,2.29 in,2.08 in,5.99 in ** 3,5.99 in ** 3,2.99 in ** 3,2.71 in ** 3,2.99 in ** 3,18.0 in,18.0 in,24.0 in
L6X6X5/16,L,12.4 plf,3.67 in ** 2,6.0 in,6.0 in,0.313 in,0.813 in,0.8125 in,1.6 in,1.6 in,0.306 in,0.306 in,19.2,13.0 in ** 4,5.26 in ** 3,2.95 in ** 3,1.88 in,13.0 in ** 4,5.26 in ** 3,2.95 in ** 3,1.88 in,5.2 in ** 4,1.19 in,2.3 in ** 3,0.129 in ** 4,0.338 in ** 6,3.35 in,1,20.8 in ** 4,4.13 in,0.0 in,4.13 in,2.09 in,2.26 in,2.09 in,5.04 in ** 3,5.04 in ** 3,2.49 in ** 3,2.3 in ** 3,2.49 in ** 3,18.0 in,18.0 in,24.0 in
L6X4X7/8,L,27.2 plf,8.0 in ** 2,4.0 in,6.0 in,0.875 in,1.38 in,1.375 in,1.12 in,2.12 in,0.667 in,1.43 in,6.86,27.7 in ** 4,12.7 in ** 3,7.13 in ** 3,1.86 in,9.7 in ** 4,6.26 in ** 3,3.37 in ** 3,1.1 in,5.82 in ** 4,0.854 in,2.91 in ** 3,2.03 in ** 4,4.04 in ** 6,2.82 in,0.421,31.6 in ** 4,2.67 in,1.52 in,3.84 in,2.0 in,1.86 in,0.877 in,11.8 in ** 3,8.23 in ** 3,2.91 in ** 3,3.13 in ** 3,6.64 in ** 3,16.0 in,14.0 in,20.0 in
L6X4X3/4,L,23.6 plf,6.94 in ** 2,4.0 in,6.0 in,0.75 in,1.25 in,1.25 in,1.07 in,2.07 in,0.578 in,1.37 in,8,24.5 in ** 4,11.1 in ** 3,6.23 in ** 3,1.88 in,8.63 in ** 4,5.42 in ** 3,2.95 in ** 3,1.12 in,5.08 in ** 4,0.856 in,2.5 in ** 3,1.31 in ** 4,2.64 in ** 6,2.85 in,0.428,28.1 in ** 4,2.71 in,1.48 in,3.89 in,2.03 in,1.8 in,0.906 in,10.4 in ** 3,7.22 in ** 3,2.5 in ** 3,2.82 in ** 3,5.61 in ** 3,16.0 in,14.0 in,20.0 in
L6X4X5/8,L,20.0 plf,5.86 in ** 2,4.0 in,6.0 in,0.625 in,1.13 in,1.125 in,1.03 in,2.03 in,0.488 in,1.31 in,9.6,21.0 in ** 4,9.44 in ** 3,5.29 in ** 3,1.89 in,7.48 in ** 4,4.56 in ** 3,2.52 in ** 3,1.13 in,4.32 in ** 4,0.859 in,2.12 in ** 3,0.775 in ** 4,1.59 in ** 6,2.88 in,0.435,24.2 in ** 4,2.76 in,1.45 in,3.93 in,2.04 in,1.75 in,0.926 in,8.77 in ** 3,6.16 in ** 3,2.12 in ** 3,2.47 in ** 3,4.67 in ** 3,16.0 in,14.0 in,20.0 in
L6X4X9/16,L,18.1 plf,5.31 in ** 2,4.0 in,6.0 in,0.563 in,1.06 in,1.0625 in,1.0 in,2.0 in,0.443 in,1.28 in,10.7,19.2 in ** 4,8.59 in ** 3,4.81 in ** 3,1.9 in,6.86 in ** 4,4.13 in ** 3,2.29 in ** 3,1.14 in,3.93 in ** 4,0.861 in,1.91 in ** 3,0.572 in ** 4,1.18 in ** 6,2.9 in,0.438,22.1 in ** 4,2.78 in,1.43 in,3.95 in,2.06 in,1.72 in,0.947 in,7.95 in ** 3,5.59 in ** 3,1.91 in ** 3,2.28 in ** 3,4.15 in ** 3,16.0 in,14.0 in,20.0 in
L6X4X1/2,L,16.2 plf,4.75 in ** 2,4.0 in,6.0 in,0.5 in,1.0 in,1.0 in,0.981 in,1.98 in,0.396 in,1.25 in,12,17.3 in ** 4,7.71 in ** 3,4.31 in ** 3,1.91 in,6.22 in ** 4,3.69 in ** 3,2.06 in ** 3,1.14 in,3.54 in ** 4,0.864 in,1.72 in ** 3,0.407 in ** 4,0.843 in ** 6,2.91 in,0.44,20.0 in ** 4,2.8 in,1.41 in,3.97 in,2.06 in,1.7 in,0.955 in,7.14 in ** 3,5.04 in ** 3,1.72 in ** 3,2.08 in ** 3,3.71 in ** 3,16.0 in,14.0 in,20.0 in
L6X4X7/16,L,14.3 plf,4.18 in ** 2,4.0 in,6.0 in,0.438 in,0.938 in,0.9375 in,0.957 in,1.95 in,0.348 in,1.22 in,13.7,15.4 in ** 4,6.81 in ** 3,3.81 in ** 3,1.92 in,5.56 in ** 4,3.24 in ** 3,1.83 in ** 3,1.15 in,3.14 in ** 4,0.867 in,1.51 in ** 3,0.276 in ** 4,0.575 in ** 6,2.93 in,0.443,17.8 in ** 4,2.82 in,1.39 in,4.0 in,2.08 in,1.67 in,0.97 in,6.31 in ** 3,4.45 in ** 3,1.51 in ** 3,1.88 in ** 3,3.24 in ** 3,16.0 in,14.0 in,20.0 in
L6X4X3/8,L,12.3 plf,3.61 in ** 2,4.0 in,6.0 in,0.375 in,0.875 in,0.875 in,0.933 in,1.93 in,0.301 in,1.19 in,16,13.4 in ** 4,5.89 in ** 3,3.3 in ** 3,1.93 in,4.86 in ** 4,2.79 in ** 3,1.58 in ** 3,1.16 in,2.73 in ** 4,0.87 in,1.31 in ** 3,0.177 in ** 4,0.369 in ** 6,2.94 in,0.446,15.5 in ** 4,2.84 in,1.38 in,4.02 in,2.09 in,1.64 in,0.979 in,5.46 in ** 3,3.86 in ** 3,1.31 in ** 3,1.66 in ** 3,2.79 in ** 3,16.0 in,14.0 in,20.0 in
