size,type,W,A,d,b,t,k,k_det,x,y,x_p,y_p,lamb,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,I_z,r_z,S_z,J,C_w,r_o,tan_alpha,I_w,z_A,z_B,z_C,w_A,w_B,w_C,S_wA,S_wC,S_zA,S_zB,S_zC,P_A,P_A2,P_B
L3X2X1/4,L,4.1 plf,1.2 in ** 2,2.0 in,3.0 in,0.25 in,0.563 in,0.5625 in,0.487 in,0.98 in,0.2 in,0.6 in,12,1.09 in ** 4,0.969 in ** 3,0.541 in ** 3,0.953 in,0.39 in ** 4,0.463 in ** 3,0.258 in ** 3,0.569 in,0.223 in ** 4,0.431 in,0.214 in ** 3,0.027 in ** 4,0.0132 in ** 6,1.45 in,0.437,1.26 in ** 4,1.39 in,0.702 in,2.0 in,1.04 in,0.84 in,0.48 in,0.906 in ** 3,0.63 in ** 3,0.214 in ** 3,0.265 in ** 3,0.465 in ** 3,8.0 in,7.0 in,10.0 in
L3X2X3/16,L,3.07 plf,0.917 in ** 2,2.0 in,3.0 in,0.188 in,0.5 in,0.5 in,0.462 in,0.952 in,0.153 in,0.555 in,16,0.847 in ** 4,0.743 in ** 3,0.414 in ** 3,0.961 in,0.305 in ** 4,0.351 in ** 3,0.198 in ** 3,0.577 in,0.173 in ** 4,0.435 in,0.163 in ** 3,0.0119 in ** 4,0.00576 in ** 6,1.46 in,0.442,0.979 in ** 4,1.41 in,0.683 in,2.02 in,1.06 in,0.808 in,0.493 in,0.694 in ** 3,0.485 in ** 3,0.163 in ** 3,0.214 in ** 3,0.351 in ** 3,8.0 in,7.0 in,10.0 in
L2-1/2X2-1/2X1/2,L,7.7 plf,2.26 in ** 2,2.5 in,2.5 in,0.5 in,0.75 in,0.75 in,0.803 in,0.803 in,0.452 in,0.452 in,5,1.22 in ** 4,1.29 in ** 3,0.716 in ** 3,0.735 in,1.22 in ** 4,1.29 in ** 3,0.716 in ** 3,0.735 in,0.526 in ** 4,0.481 in,0.461 in ** 3,0.188 in ** 4,0.0791 in ** 6,1.3 in,1,1.92 in ** 4,1.59 in,0.0 in,1.59 in,0.809 in,1.14 in,0.809 in,1.21 in ** 3,1.21 in ** 3,0.65 in ** 3,0.461 in ** 3,0.65 in ** 3,7.5 in,7.5 in,10.0 in
L2-1/2X2-1/2X3/8,L,5.9 plf,1.73 in ** 2,2.5 in,2.5 in,0.375 in,0.625 in,0.625 in,0.758 in,0.758 in,0.346 in,0.346 in,6.67,0.972 in ** 4,1.01 in ** 3,0.558 in ** 3,0.749 in,0.972 in ** 4,1.01 in ** 3,0.558 in ** 3,0.749 in,0.4 in ** 4,0.481 in,0.374 in ** 3,0.0833 in ** 4,0.0362 in ** 6,1.33 in,1,1.54 in ** 4,1.64 in,0.0 in,1.64 in,0.828 in,1.07 in,0.828 in,0.939 in ** 3,0.939 in ** 3,0.483 in ** 3,0.374 in ** 3,0.483 in ** 3,7.5 in,7.5 in,10.0 in
L2-1/2X2-1/2X5/16,L,5.0 plf,1.46 in ** 2,2.5 in,2.5 in,0.313 in,0.563 in,0.5625 in,0.735 in,0.735 in,0.292 in,0.292 in,7.99,0.837 in ** 4,0.853 in ** 3,0.474 in ** 3,0.756 in,0.837 in ** 4,0.853 in ** 3,0.474 in ** 3,0.756 in,0.338 in ** 4,0.481 in,0.325 in ** 3,0.0495 in ** 4,0.0218 in ** 6,1.35 in,1,1.34 in ** 4,1.66 in,0.0 in,1.66 in,0.839 in,1.04 in,0.839 in,0.807 in ** 3,0.807 in ** 3,0.403 in ** 3,0.325 in ** 3,0.403 in ** 3,7.5 in,7.5 in,10.0 in
L2-1/2X2-1/2X1/4,L,4.1 plf,1.19 in ** 2,2.5 in,2.5 in,0.25 in,0.5 in,0.5 in,0.711 in,0.711 in,0.238 in,0.238 in,10,0.692 in ** 4,0.695 in ** 3,0.387 in ** 3,0.764 in,0.692 in ** 4,0.695 in ** 3,0.387 in ** 3,0.764 in,0.276 in ** 4,0.482 in,0.273 in ** 3,0.0261 in ** 4,0.0116 in ** 6,1.36 in,1,1.11 in ** 4,1.68 in,0.0 in,1.68 in,0.851 in,1.01 in,0.851 in,0.661 in ** 3,0.661 in ** 3,0.324 in ** 3,0.273 in ** 3,0.324 in ** 3,7.5 in,7.5 in,10.0 in
L2-1/2X2-1/2X3/16,L,3.07 plf,0.901 in ** 2,2.5 in,2.5 in,0.188 in,0.438 in,0.4375 in,0.687 in,0.687 in,0.18 in,0.18 in,13.3,0.535 in ** 4,0.529 in ** 3,0.295 in ** 3,0.771 in,0.535 in ** 4,0.529 in ** 3,0.295 in ** 3,0.771 in,0.209 in ** 4,0.482 in,0.215 in ** 3,0.0114 in ** 4,0.0051 in ** 6,1.38 in,1,0.86 in ** 4,1.7 in,0.0 in,1.7 in,0.863 in,0.972 in,0.863 in,0.506 in ** 3,0.506 in ** 3,0.242 in ** 3,0.215 in ** 3,0.242 in ** 3,7.5 in,7.5 in,10.0 in
L2-1/2X2X3/8,L,5.3 plf,1.55 in ** 2,2.0 in,2.5 in,0.375 in,0.625 in,0.625 in,0.578 in,0.826 in,0.31 in,0.433 in,6.67,0.914 in ** 4,0.982 in ** 3,0.546 in ** 3,0.766 in,0.513 in ** 4,0.657 in ** 3,0.361 in ** 3,0.574 in,0.273 in ** 4,0.419 in,0.295 in ** 3,0.0746 in ** 4,0.0268 in ** 6,1.22 in,0.612,1.15 in ** 4,1.29 in,0.403 in,1.63 in,0.88 in,0.924 in,0.541 in,0.891 in ** 3,0.706 in ** 3,0.31 in ** 3,0.295 in ** 3,0.505 in ** 3,7.0 in,6.5 in,9.0 in
L2-1/2X2X5/16,L,4.5 plf,1.32 in ** 2,2.0 in,2.5 in,0.313 in,0.563 in,0.5625 in,0.555 in,0.803 in,0.264 in,0.388 in,7.99,0.79 in ** 4,0.839 in ** 3,0.465 in ** 3,0.774 in,0.446 in ** 4,0.557 in ** 3,0.309 in ** 3,0.581 in,0.233 in ** 4,0.42 in,0.261 in ** 3,0.0444 in ** 4,0.0162 in ** 6,1.23 in,0.618,1.0 in ** 4,1.31 in,0.391 in,1.65 in,0.889 in,0.894 in,0.554 in,0.763 in ** 3,0.606 in ** 3,0.262 in ** 3,0.261 in ** 3,0.421 in ** 3,7.0 in,6.5 in,9.0 in
L2-1/2X2X1/4,L,3.62 plf,1.07 in ** 2,2.0 in,2.5 in,0.25 in,0.5 in,0.5 in,0.532 in,0.779 in,0.214 in,0.36 in,10,0.656 in ** 4,0.688 in ** 3,0.381 in ** 3,0.782 in,0.372 in ** 4,0.454 in ** 3,0.253 in ** 3,0.589 in,0.192 in ** 4,0.423 in,0.213 in ** 3,0.0235 in ** 4,0.00868 in ** 6,1.25 in,0.624,0.837 in ** 4,1.33 in,0.38 in,1.68 in,0.9 in,0.864 in,0.565 in,0.629 in ** 3,0.498 in ** 3,0.213 in ** 3,0.222 in ** 3,0.34 in ** 3,7.0 in,6.5 in,9.0 in
L2-1/2X2X3/16,L,2.75 plf,0.818 in ** 2,2.0 in,2.5 in,0.188 in,0.438 in,0.4375 in,0.508 in,0.754 in,0.164 in,0.319 in,13.3,0.511 in ** 4,0.529 in ** 3,0.293 in ** 3,0.79 in,0.292 in ** 4,0.347 in ** 3,0.195 in ** 3,0.597 in,0.148 in ** 4,0.426 in,0.162 in ** 3,0.0103 in ** 4,0.00382 in ** 6,1.26 in,0.628,0.654 in ** 4,1.35 in,0.367 in,1.7 in,0.911 in,0.832 in,0.58 in,0.484 in ** 3,0.385 in ** 3,0.162 in ** 3,0.178 in ** 3,0.255 in ** 3,7.0 in,6.5 in,9.0 in
L2-1/2X1-1/2X1/4,L,3.19 plf,0.947 in ** 2,1.5 in,2.5 in,0.25 in,0.5 in,0.5 in,0.372 in,0.866 in,0.189 in,0.606 in,10,0.594 in ** 4,0.644 in ** 3,0.364 in ** 3,0.792 in,0.16 in ** 4,0.261 in ** 3,0.142 in ** 3,0.411 in,0.0977 in ** 4,0.321 in,0.12 in ** 3,0.0209 in ** 4,0.00694 in ** 6,1.19 in,0.354,0.656 in ** 4,1.08 in,0.692 in,1.62 in,0.816 in,0.64 in,0.313 in,0.607 in ** 3,0.405 in ** 3,0.12 in ** 3,0.153 in ** 3,0.312 in ** 3,6.5 in,5.5 in,8.0 in
L2-1/2X1-1/2X3/16,L,2.44 plf,0.724 in ** 2,1.5 in,2.5 in,0.188 in,0.438 in,0.4375 in,0.347 in,0.839 in,0.145 in,0.569 in,13.3,0.464 in ** 4,0.497 in ** 3,0.28 in ** 3,0.801 in,0.126 in ** 4,0.198 in ** 3,0.11 in ** 3,0.418 in,0.0754 in ** 4,0.324 in,0.0906 in ** 3,0.00921 in ** 4,0.00306 in ** 6,1.2 in,0.36,0.514 in ** 4,1.09 in,0.671 in,1.65 in,0.832 in,0.611 in,0.326 in,0.472 in ** 3,0.312 in ** 3,0.0906 in ** 3,0.123 in ** 3,0.231 in ** 3,6.5 in,5.5 in,8.0 in
L2X2X3/8,L,4.7 plf,1.37 in ** 2,2.0 in,2.0 in,0.375 in,0.625 in,0.625 in,0.632 in,0.632 in,0.343 in,0.343 in,5.33,0.476 in ** 4,0.629 in ** 3,0.348 in ** 3,0.591 in,0.476 in ** 4,0.629 in ** 3,0.348 in ** 3,0.591 in,0.203 in ** 4,0.386 in,0.227 in ** 3,0.0658 in ** 4,0.0174 in ** 6,1.05 in,1,0.749 in ** 4,1.28 in,0.0 in,1.28 in,0.653 in,0.894 in,0.653 in,0.585 in ** 3,0.585 in ** 3,0.311 in ** 3,0.227 in ** 3,0.311 in ** 3,6.0 in,6.0 in,8.0 in
L2X2X5/16,L,3.92 plf,1.16 in ** 2,2.0 in,2.0 in,0.313 in,0.563 in,0.5625 in,0.609 in,0.609 in,0.29 in,0.29 in,6.39,0.414 in ** 4,0.537 in ** 3,0.298 in ** 3,0.598 in,0.414 in ** 4,0.537 in ** 3,0.298 in ** 3,0.598 in,0.172 in ** 4,0.386 in,0.2 in ** 3,0.0393 in ** 4,0.0106 in ** 6,1.06 in,1,0.655 in ** 4,1.3 in,0.0 in,1.3 in,0.664 in,0.861 in,0.664 in,0.504 in ** 3,0.504 in ** 3,0.259 in ** 3,0.2 in ** 3,0.259 in ** 3,6.0 in,6.0 in,8.0 in
L2X2X1/4,L,3.19 plf,0.944 in ** 2,2.0 in,2.0 in,0.25 in,0.5 in,0.5 in,0.586 in,0.586 in,0.236 in,0.236 in,8,0.346 in ** 4,0.44 in ** 3,0.244 in ** 3,0.605 in,0.346 in ** 4,0.44 in ** 3,0.244 in ** 3,0.605 in,0.142 in ** 4,0.387 in,0.171 in ** 3,0.0209 in ** 4,0.00572 in ** 6,1.08 in,1,0.551 in ** 4,1.33 in,0.0 in,1.33 in,0.674 in,0.829 in,0.674 in,0.414 in ** 3,0.414 in ** 3,0.211 in ** 3,0.171 in ** 3,0.211 in ** 3,6.0 in,6.0 in,8.0 in
L2X2X3/16,L,2.44 plf,0.722 in ** 2,2.0 in,2.0 in,0.188 in,0.438 in,0.4375 in,0.561 in,0.561 in,0.181 in,0.181 in,10.6,0.271 in ** 4,0.338 in ** 3,0.188 in ** 3,0.612 in,0.271 in ** 4,0.338 in ** 3,0.188 in ** 3,0.612 in,0.109 in ** 4,0.389 in,0.137 in ** 3,0.00921 in ** 4,0.00254 in ** 6,1.09 in,1,0.433 in ** 4,1.35 in,0.0 in,1.35 in,0.687 in,0.793 in,0.687 in,0.321 in ** 3,0.321 in ** 3,0.159 in ** 3,0.137 in ** 3,0.159 in ** 3,6.0 in,6.0 in,8.0 in
L2X2X1/8,L,1.65 plf,0.491 in ** 2,2.0 in,2.0 in,0.125 in,0.375 in,0.375 in,0.534 in,0.534 in,0.123 in,0.123 in,16,0.189 in ** 4,0.23 in ** 3,0.129 in ** 3,0.62 in,0.189 in ** 4,0.23 in ** 3,0.129 in ** 3,0.62 in,0.0756 in ** 4,0.391 in,0.1 in ** 3,0.00293 in ** 4,0.000789 in ** 6,1.1 in,1,0.303 in ** 4,1.37 in,0.0 in,1.37 in,0.703 in,0.755 in,0.703 in,0.221 in ** 3,0.221 in ** 3,0.108 in ** 3,0.1 in ** 3,0.108 in ** 3,6.0 in,6.0 in,8.0 in
