size,type,W,A,H_t,h,B,b,t_nom,t,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C
HSS4X4X5/16,HSS,14.83 plf,4.1 in ** 2,4.0 in,3.13 in,4.0 in,3.13 in,0.3125 in,0.291 in,10.7,10.7,9.14 in ** 4,5.59 in ** 3,4.57 in ** 3,1.49 in,9.14 in ** 4,5.59 in ** 3,4.57 in ** 3,1.49 in,15.3 in ** 4,7.91 in ** 3
HSS4X4X1/4,HSS,12.21 plf,3.37 in ** 2,4.0 in,3.3 in,4.0 in,3.3 in,0.25 in,0.233 in,14.2,14.2,7.8 in ** 4,4.69 in ** 3,3.9 in ** 3,1.52 in,7.8 in ** 4,4.69 in ** 3,3.9 in ** 3,1.52 in,12.8 in ** 4,6.56 in ** 3
HSS4X4X3/16,HSS,9.42 plf,2.58 in ** 2,4.0 in,3.48 in,4.0 in,3.48 in,0.1875 in,0.174 in,20,20,6.21 in ** 4,3.67 in ** 3,3.1 in ** 3,1.55 in,6.21 in ** 4,3.67 in ** 3,3.1 in ** 3,1.55 in,10.0 in ** 4,5.07 in ** 3
HSS4X4X1/8,HSS,6.46 plf,1.77 in ** 2,4.0 in,3.65 in,4.0 in,3.65 in,0.125 in,0.116 in,31.5,31.5,4.4 in ** 4,2.56 in ** 3,2.2 in ** 3,1.58 in,4.4 in ** 4,2.56 in ** 3,2.2 in ** 3,1.58 in,6.91 in ** 4,3.49 in ** 3
HSS4X3X3/8,HSS,14.72 plf,4.09 in ** 2,4.0 in,2.95 in,3.0 in,1.95 in,0.375 in,0.349 in,5.6,8.46,7.93 in ** 4,5.12 in ** 3,3.97 in ** 3,1.39 in,5.01 in ** 4,4.18 in ** 3,3.34 in ** 3,1.11 in,10.6 in ** 4,6.59 in ** 3
HSS4X3X5/16,HSS,12.7 plf,3.52 in ** 2,4.0 in,3.13 in,3.0 in,2.13 in,0.3125 in,0.291 in,7.31,10.7,7.14 in ** 4,4.51 in ** 3,3.57 in ** 3,1.42 in,4.52 in ** 4,3.69 in ** 3,3.02 in ** 3,1.13 in,9.41 in ** 4,5.75 in ** 3
HSS4X3X1/4,HSS,10.51 plf,2.91 in ** 2,4.0 in,3.3 in,3.0 in,2.3 in,0.25 in,0.233 in,9.88,14.2,6.15 in ** 4,3.81 in ** 3,3.07 in ** 3,1.45 in,3.91 in ** 4,3.12 in ** 3,2.61 in ** 3,1.16 in,7.96 in ** 4,4.81 in ** 3
HSS4X3X3/16,HSS,8.15 plf,2.24 in ** 2,4.0 in,3.48 in,3.0 in,2.48 in,0.1875 in,0.174 in,14.2,20,4.93 in ** 4,3.0 in ** 3,2.47 in ** 3,1.49 in,3.16 in ** 4,2.46 in ** 3,2.1 in ** 3,1.19 in,6.26 in ** 4,3.74 in ** 3
HSS4X3X1/8,HSS,5.61 plf,1.54 in ** 2,4.0 in,3.65 in,3.0 in,2.65 in,0.125 in,0.116 in,22.9,31.5,3.52 in ** 4,2.11 in ** 3,1.76 in ** 3,1.52 in,2.27 in ** 4,1.73 in ** 3,1.51 in ** 3,1.21 in,4.38 in ** 4,2.59 in ** 3
HSS4X2-1/2X1/4,HSS,9.66 plf,2.67 in ** 2,4.0 in,3.3 in,2.5 in,1.8 in,0.25 in,0.233 in,7.73,14.2,5.32 in ** 4,3.38 in ** 3,2.66 in ** 3,1.41 in,2.53 in ** 4,2.43 in ** 3,2.02 in ** 3,0.973 in,5.78 in ** 4,3.93 in ** 3
HSS4X2-1/2X3/16,HSS,7.51 plf,2.06 in ** 2,4.0 in,3.48 in,2.5 in,1.98 in,0.1875 in,0.174 in,11.4,20,4.3 in ** 4,2.67 in ** 3,2.15 in ** 3,1.44 in,2.06 in ** 4,1.93 in ** 3,1.65 in ** 3,0.999 in,4.59 in ** 4,3.08 in ** 3
HSS4X2-1/2X1/8,HSS,5.18 plf,1.42 in ** 2,4.0 in,3.65 in,2.5 in,2.15 in,0.125 in,0.116 in,18.6,31.5,3.09 in ** 4,1.88 in ** 3,1.54 in ** 3,1.47 in,1.49 in ** 4,1.36 in ** 3,1.19 in ** 3,1.03 in,3.23 in ** 4,2.14 in ** 3
HSS4X2X3/8,HSS,12.17 plf,3.39 in ** 2,4.0 in,2.95 in,2.0 in,0.953 in,0.375 in,0.349 in,2.73,8.46,5.6 in ** 4,3.84 in ** 3,2.8 in ** 3,1.29 in,1.8 in ** 4,2.31 in ** 3,1.8 in ** 3,0.729 in,4.83 in ** 4,4.04 in ** 3
HSS4X2X5/16,HSS,10.58 plf,2.94 in ** 2,4.0 in,3.13 in,2.0 in,1.13 in,0.3125 in,0.291 in,3.87,10.7,5.13 in ** 4,3.43 in ** 3,2.56 in ** 3,1.32 in,1.67 in ** 4,2.08 in ** 3,1.67 in ** 3,0.754 in,4.4 in ** 4,3.59 in ** 3
HSS4X2X1/4,HSS,8.81 plf,2.44 in ** 2,4.0 in,3.3 in,2.0 in,1.3 in,0.25 in,0.233 in,5.58,14.2,4.49 in ** 4,2.94 in ** 3,2.25 in ** 3,1.36 in,1.48 in ** 4,1.79 in ** 3,1.48 in ** 3,0.779 in,3.82 in ** 4,3.05 in ** 3
HSS4X2X3/16,HSS,6.87 plf,1.89 in ** 2,4.0 in,3.48 in,2.0 in,1.48 in,0.1875 in,0.174 in,8.49,20,3.66 in ** 4,2.34 in ** 3,1.83 in ** 3,1.39 in,1.22 in ** 4,1.43 in ** 3,1.22 in ** 3,0.804 in,3.08 in ** 4,2.41 in ** 3
HSS4X2X1/8,HSS,4.75 plf,1.3 in ** 2,4.0 in,3.65 in,2.0 in,1.65 in,0.125 in,0.116 in,14.2,31.5,2.65 in ** 4,1.66 in ** 3,1.32 in ** 3,1.43 in,0.898 in ** 4,1.02 in ** 3,0.898 in ** 3,0.83 in,2.2 in ** 4,1.69 in ** 3
HSS4X1-1/2X1/4,HSS,7.96 plf,2.21 in ** 2,4.0 in,3.3 in,1.5 in,0.801 in,0.25 in,0.233 in,3.44,14.2,3.66 in ** 4,2.5 in ** 3,1.83 in ** 3,1.29 in,0.733 in ** 4,1.21 in ** 3,0.977 in ** 3,0.576 in,2.14 in ** 4,2.18 in ** 3
HSS4X1-1/2X3/16,HSS,6.23 plf,1.71 in ** 2,4.0 in,3.48 in,1.5 in,0.978 in,0.1875 in,0.174 in,5.62,20,3.02 in ** 4,2.01 in ** 3,1.51 in ** 3,1.33 in,0.621 in ** 4,0.982 in ** 3,0.827 in ** 3,0.602 in,1.78 in ** 4,1.75 in ** 3
HSS4X1-1/2X1/8,HSS,4.33 plf,1.19 in ** 2,4.0 in,3.65 in,1.5 in,1.15 in,0.125 in,0.116 in,9.93,31.5,2.21 in ** 4,1.43 in ** 3,1.11 in ** 3,1.36 in,0.467 in ** 4,0.71 in ** 3,0.622 in ** 3,0.627 in,1.3 in ** 4,1.24 in ** 3
HSS3-1/2X3-1/2X3/8,HSS,14.72 plf,4.09 in ** 2,3.5 in,2.45 in,3.5 in,2.45 in,0.375 in,0.349 in,7.03,7.03,6.49 in ** 4,4.69 in ** 3,3.71 in ** 3,1.26 in,6.49 in ** 4,4.69 in ** 3,3.71 in ** 3,1.26 in,11.2 in ** 4,6.77 in ** 3
HSS3-1/2X3-1/2X5/16,HSS,12.7 plf,3.52 in ** 2,3.5 in,2.63 in,3.5 in,2.63 in,0.3125 in,0.291 in,9.03,9.03,5.84 in ** 4,4.14 in ** 3,3.34 in ** 3,1.29 in,5.84 in ** 4,4.14 in ** 3,3.34 in ** 3,1.29 in,9.89 in ** 4,5.9 in ** 3
HSS3-1/2X3-1/2X1/4,HSS,10.51 plf,2.91 in ** 2,3.5 in,2.8 in,3.5 in,2.8 in,0.25 in,0.233 in,12,12,5.04 in ** 4,3.5 in ** 3,2.88 in ** 3,1.32 in,5.04 in ** 4,3.5 in ** 3,2.88 in ** 3,1.32 in,8.35 in ** 4,4.92 in ** 3
HSS3-1/2X3-1/2X3/16,HSS,8.15 plf,2.24 in ** 2,3.5 in,2.98 in,3.5 in,2.98 in,0.1875 in,0.174 in,17.1,17.1,4.05 in ** 4,2.76 in ** 3,2.31 in ** 3,1.35 in,4.05 in ** 4,2.76 in ** 3,2.31 in ** 3,1.35 in,6.56 in ** 4,3.83 in ** 3
HSS3-1/2X3-1/2X1/8,HSS,5.61 plf,1.54 in ** 2,3.5 in,3.15 in,3.5 in,3.15 in,0.125 in,0.116 in,27.2,27.2,2.9 in ** 4,1.93 in ** 3,1.66 in ** 3,1.37 in,2.9 in ** 4,1.93 in ** 3,1.66 in ** 3,1.37 in,4.58 in ** 4,2.65 in ** 3
HSS3-1/2X2-1/2X3/8,HSS,12.17 plf,3.39 in ** 2,3.5 in,2.45 in,2.5 in,1.45 in,0.375 in,0.349 in,4.16,7.03,4.75 in ** 4,3.59 in ** 3,2.72 in ** 3,1.18 in,2.77 in ** 4,2.82 in ** 3,2.21 in ** 3,0.904 in,6.16 in ** 4,4.57 in ** 3
HSS3-1/2X2-1/2X5/16,HSS,10.58 plf,2.94 in ** 2,3.5 in,2.63 in,2.5 in,1.63 in,0.3125 in,0.291 in,5.59,9.03,4.34 in ** 4,3.2 in ** 3,2.48 in ** 3,1.22 in,2.54 in ** 4,2.52 in ** 3,2.03 in ** 3,0.93 in,5.53 in ** 4,4.03 in ** 3
HSS3-1/2X2-1/2X1/4,HSS,8.81 plf,2.44 in ** 2,3.5 in,2.8 in,2.5 in,1.8 in,0.25 in,0.233 in,7.73,12,3.79 in ** 4,2.74 in ** 3,2.17 in ** 3,1.25 in,2.23 in ** 4,2.16 in ** 3,1.78 in ** 3,0.956 in,4.75 in ** 4,3.4 in ** 3
HSS3-1/2X2-1/2X3/16,HSS,6.87 plf,1.89 in ** 2,3.5 in,2.98 in,2.5 in,1.98 in,0.1875 in,0.174 in,11.4,17.1,3.09 in ** 4,2.18 in ** 3,1.76 in ** 3,1.28 in,1.82 in ** 4,1.72 in ** 3,1.46 in ** 3,0.983 in,3.78 in ** 4,2.67 in ** 3
HSS3-1/2X2-1/2X1/8,HSS,4.75 plf,1.3 in ** 2,3.5 in,3.15 in,2.5 in,2.15 in,0.125 in,0.116 in,18.6,27.2,2.23 in ** 4,1.54 in ** 3,1.28 in ** 3,1.31 in,1.33 in ** 4,1.22 in ** 3,1.06 in ** 3,1.01 in,2.67 in ** 4,1.87 in ** 3
HSS3-1/2X2X1/4,HSS,7.96 plf,2.21 in ** 2,3.5 in,2.8 in,2.0 in,1.3 in,0.25 in,0.233 in,5.58,12,3.17 in ** 4,2.36 in ** 3,1.81 in ** 3,1.2 in,1.3 in ** 4,1.58 in ** 3,1.3 in ** 3,0.766 in,3.16 in ** 4,2.64 in ** 3
HSS3-1/2X2X3/16,HSS,6.23 plf,1.71 in ** 2,3.5 in,2.98 in,2.0 in,1.48 in,0.1875 in,0.174 in,8.49,17.1,2.61 in ** 4,1.89 in ** 3,1.49 in ** 3,1.23 in,1.08 in ** 4,1.27 in ** 3,1.08 in ** 3,0.792 in,2.55 in ** 4,2.09 in ** 3
HSS3-1/2X2X1/8,HSS,4.33 plf,1.19 in ** 2,3.5 in,3.15 in,2.0 in,1.65 in,0.125 in,0.116 in,14.2,27.2,1.9 in ** 4,1.34 in ** 3,1.09 in ** 3,1.27 in,0.795 in ** 4,0.912 in ** 3,0.795 in ** 3,0.818 in,1.83 in ** 4,1.47 in ** 3
HSS3-1/2X1-1/2X1/4,HSS,7.11 plf,1.97 in ** 2,3.5 in,2.8 in,1.5 in,0.801 in,0.25 in,0.233 in,3.44,12,2.55 in ** 4,1.98 in ** 3,1.46 in ** 3,1.14 in,0.638 in ** 4,1.06 in ** 3,0.851 in ** 3,0.569 in,1.79 in ** 4,1.88 in ** 3
HSS3-1/2X1-1/2X3/16,HSS,5.59 plf,1.54 in ** 2,3.5 in,2.98 in,1.5 in,0.978 in,0.1875 in,0.174 in,5.62,17.1,2.12 in ** 4,1.6 in ** 3,1.21 in ** 3,1.17 in,0.544 in ** 4,0.867 in ** 3,0.725 in ** 3,0.594 in,1.49 in ** 4,1.51 in ** 3
HSS3-1/2X1-1/2X1/8,HSS,3.9 plf,1.07 in ** 2,3.5 in,3.15 in,1.5 in,1.15 in,0.125 in,0.116 in,9.93,27.2,1.57 in ** 4,1.15 in ** 3,0.896 in ** 3,1.21 in,0.411 in ** 4,0.63 in ** 3,0.548 in ** 3,0.619 in,1.09 in ** 4,1.08 in ** 3
HSS3X3X3/8,HSS,12.17 plf,3.39 in ** 2,3.0 in,1.95 in,3.0 in,1.95 in,0.375 in,0.349 in,5.6,5.6,3.78 in ** 4,3.25 in ** 3,2.52 in ** 3,1.06 in,3.78 in ** 4,3.25 in ** 3,2.52 in ** 3,1.06 in,6.64 in ** 4,4.74 in ** 3
HSS3X3X5/16,HSS,10.58 plf,2.94 in ** 2,3.0 in,2.13 in,3.0 in,2.13 in,0.3125 in,0.291 in,7.31,7.31,3.45 in ** 4,2.9 in ** 3,2.3 in ** 3,1.08 in,3.45 in ** 4,2.9 in ** 3,2.3 in ** 3,1.08 in,5.94 in ** 4,4.18 in ** 3
HSS3X3X1/4,HSS,8.81 plf,2.44 in ** 2,3.0 in,2.3 in,3.0 in,2.3 in,0.25 in,0.233 in,9.88,9.88,3.02 in ** 4,2.48 in ** 3,2.01 in ** 3,1.11 in,3.02 in ** 4,2.48 in ** 3,2.01 in ** 3,1.11 in,5.08 in ** 4,3.52 in ** 3
HSS3X3X3/16,HSS,6.87 plf,1.89 in ** 2,3.0 in,2.48 in,3.0 in,2.48 in,0.1875 in,0.174 in,14.2,14.2,2.46 in ** 4,1.97 in ** 3,1.64 in ** 3,1.14 in,2.46 in ** 4,1.97 in ** 3,1.64 in ** 3,1.14 in,4.03 in ** 4,2.76 in ** 3
HSS3X3X1/8,HSS,4.75 plf,1.3 in ** 2,3.0 in,2.65 in,3.0 in,2.65 in,0.125 in,0.116 in,22.9,22.9,1.78 in ** 4,1.4 in ** 3,1.19 in ** 3,1.17 in,1.78 in ** 4,1.4 in ** 3,1.19 in ** 3,1.17 in,2.84 in ** 4,1.92 in ** 3
HSS3X2-1/2X5/16,HSS,9.51 plf,2.64 in ** 2,3.0 in,2.13 in,2.5 in,1.63 in,0.3125 in,0.291 in,5.59,7.31,2.92 in ** 4,2.51 in ** 3,1.94 in ** 3,1.05 in,2.18 in ** 4,2.2 in ** 3,1.74 in ** 3,0.908 in,4.34 in ** 4,3.39 in ** 3
HSS3X2-1/2X1/4,HSS,7.96 plf,2.21 in ** 2,3.0 in,2.3 in,2.5 in,1.8 in,0.25 in,0.233 in,7.73,9.88,2.57 in ** 4,2.16 in ** 3,1.72 in ** 3,1.08 in,1.93 in ** 4,1.9 in ** 3,1.54 in ** 3,0.935 in,3.74 in ** 4,2.87 in ** 3
HSS3X2-1/2X3/16,HSS,6.23 plf,1.71 in ** 2,3.0 in,2.48 in,2.5 in,1.98 in,0.1875 in,0.174 in,11.4,14.2,2.11 in ** 4,1.73 in ** 3,1.41 in ** 3,1.11 in,1.59 in ** 4,1.52 in ** 3,1.27 in ** 3,0.963 in,3.0 in ** 4,2.27 in ** 3
HSS3X2-1/2X1/8,HSS,4.33 plf,1.19 in ** 2,3.0 in,2.65 in,2.5 in,2.15 in,0.125 in,0.116 in,18.6,22.9,1.54 in ** 4,1.23 in ** 3,1.03 in ** 3,1.14 in,1.16 in ** 4,1.09 in ** 3,0.931 in ** 3,0.99 in,2.13 in ** 4,1.59 in ** 3
HSS3X2X5/16,HSS,8.45 plf,2.35 in ** 2,3.0 in,2.13 in,2.0 in,1.13 in,0.3125 in,0.291 in,3.87,7.31,2.38 in ** 4,2.11 in ** 3,1.59 in ** 3,1.01 in,1.24 in ** 4,1.58 in ** 3,1.24 in ** 3,0.725 in,2.87 in ** 4,2.6 in ** 3
HSS3X2X1/4,HSS,7.11 plf,1.97 in ** 2,3.0 in,2.3 in,2.0 in,1.3 in,0.25 in,0.233 in,5.58,9.88,2.13 in ** 4,1.83 in ** 3,1.42 in ** 3,1.04 in,1.11 in ** 4,1.38 in ** 3,1.11 in ** 3,0.751 in,2.52 in ** 4,2.23 in ** 3
HSS3X2X3/16,HSS,5.59 plf,1.54 in ** 2,3.0 in,2.48 in,2.0 in,1.48 in,0.1875 in,0.174 in,8.49,14.2,1.77 in ** 4,1.48 in ** 3,1.18 in ** 3,1.07 in,0.932 in ** 4,1.12 in ** 3,0.932 in ** 3,0.778 in,2.05 in ** 4,1.78 in ** 3
HSS3X2X1/8,HSS,3.9 plf,1.07 in ** 2,3.0 in,2.65 in,2.0 in,1.65 in,0.125 in,0.116 in,14.2,22.9,1.3 in ** 4,1.06 in ** 3,0.867 in ** 3,1.1 in,0.692 in ** 4,0.803 in ** 3,0.692 in ** 3,0.804 in,1.47 in ** 4,1.25 in ** 3
HSS3X1-1/2X1/4,HSS,6.26 plf,1.74 in ** 2,3.0 in,2.3 in,1.5 in,0.801 in,0.25 in,0.233 in,3.44,9.88,1.68 in ** 4,1.51 in ** 3,1.12 in ** 3,0.982 in,0.543 in ** 4,0.911 in ** 3,0.725 in ** 3,0.559 in,1.44 in ** 4,1.58 in ** 3
HSS3X1-1/2X3/16,HSS,4.96 plf,1.37 in ** 2,3.0 in,2.48 in,1.5 in,0.978 in,0.1875 in,0.174 in,5.62,14.2,1.42 in ** 4,1.24 in ** 3,0.945 in ** 3,1.02 in,0.467 in ** 4,0.752 in ** 3,0.622 in ** 3,0.584 in,1.21 in ** 4,1.28 in ** 3
HSS3X1-1/2X1/8,HSS,3.48 plf,0.956 in ** 2,3.0 in,2.65 in,1.5 in,1.15 in,0.125 in,0.116 in,9.93,22.9,1.06 in ** 4,0.895 in ** 3,0.706 in ** 3,1.05 in,0.355 in ** 4,0.55 in ** 3,0.474 in ** 3,0.61 in,0.886 in ** 4,0.92 in ** 3
HSS3X1X3/16,HSS,4.32 plf,1.19 in ** 2,3.0 in,2.48 in,1.0 in,0.478 in,0.1875 in,0.174 in,2.75,14.2,1.07 in ** 4,0.989 in ** 3,0.713 in ** 3,0.947 in,0.173 in ** 4,0.432 in ** 3,0.345 in ** 3,0.38 in,0.526 in ** 4,0.792 in ** 3
HSS3X1X1/8,HSS,3.05 plf,0.84 in ** 2,3.0 in,2.65 in,1.0 in,0.652 in,0.125 in,0.116 in,5.62,22.9,0.817 in ** 4,0.728 in ** 3,0.545 in ** 3,0.987 in,0.138 in ** 4,0.325 in ** 3,0.276 in ** 3,0.405 in,0.408 in ** 4,0.585 in ** 3
HSS2-1/2X2-1/2X5/16,HSS,8.45 plf,2.35 in ** 2,2.5 in,1.63 in,2.5 in,1.63 in,0.3125 in,0.291 in,5.59,5.59,1.82 in ** 4,1.88 in ** 3,1.46 in ** 3,0.88 in,1.82 in ** 4,1.88 in ** 3,1.46 in ** 3,0.88 in,3.2 in ** 4,2.74 in ** 3
HSS2-1/2X2-1/2X1/4,HSS,7.11 plf,1.97 in ** 2,2.5 in,1.8 in,2.5 in,1.8 in,0.25 in,0.233 in,7.73,7.73,1.63 in ** 4,1.63 in ** 3,1.3 in ** 3,0.908 in,1.63 in ** 4,1.63 in ** 3,1.3 in ** 3,0.908 in,2.79 in ** 4,2.35 in ** 3
HSS2-1/2X2-1/2X3/16,HSS,5.59 plf,1.54 in ** 2,2.5 in,1.98 in,2.5 in,1.98 in,0.1875 in,0.174 in,11.4,11.4,1.35 in ** 4,1.32 in ** 3,1.08 in ** 3,0.937 in,1.35 in ** 4,1.32 in ** 3,1.08 in ** 3,0.937 in,2.25 in ** 4,1.86 in ** 3
HSS2-1/2X2-1/2X1/8,HSS,3.9 plf,1.07 in ** 2,2.5 in,2.15 in,2.5 in,2.15 in,0.125 in,0.116 in,18.6,18.6,0.998 in ** 4,0.947 in ** 3,0.799 in ** 3,0.965 in,0.998 in ** 4,0.947 in ** 3,0.799 in ** 3,0.965 in,1.61 in ** 4,1.31 in ** 3
HSS2-1/2X2X1/4,HSS,6.26 plf,1.74 in ** 2,2.5 in,1.8 in,2.0 in,1.3 in,0.25 in,0.233 in,5.58,7.73,1.33 in ** 4,1.37 in ** 3,1.06 in ** 3,0.874 in,0.93 in ** 4,1.17 in ** 3,0.93 in ** 3,0.731 in,1.9 in ** 4,1.82 in ** 3
HSS2-1/2X2X3/16,HSS,4.96 plf,1.37 in ** 2,2.5 in,1.98 in,2.0 in,1.48 in,0.1875 in,0.174 in,8.49,11.4,1.12 in ** 4,1.12 in ** 3,0.894 in ** 3,0.904 in,0.786 in ** 4,0.956 in ** 3,0.786 in ** 3,0.758 in,1.55 in ** 4,1.46 in ** 3
HSS2-1/2X2X1/8,HSS,3.48 plf,0.956 in ** 2,2.5 in,2.15 in,2.0 in,1.65 in,0.125 in,0.116 in,14.2,18.6,0.833 in ** 4,0.809 in ** 3,0.667 in ** 3,0.934 in,0.589 in ** 4,0.694 in ** 3,0.589 in ** 3,0.785 in,1.12 in ** 4,1.04 in ** 3
HSS2-1/2X1-1/2X1/4,HSS,5.41 plf,1.51 in ** 2,2.5 in,1.8 in,1.5 in,0.801 in,0.25 in,0.233 in,3.44,7.73,1.03 in ** 4,1.11 in ** 3,0.822 in ** 3,0.826 in,0.449 in ** 4,0.764 in ** 3,0.599 in ** 3,0.546 in,1.1 in ** 4,1.29 in ** 3
HSS2-1/2X1-1/2X3/16,HSS,4.32 plf,1.19 in ** 2,2.5 in,1.98 in,1.5 in,0.978 in,0.1875 in,0.174 in,5.62,11.4,0.882 in ** 4,0.915 in ** 3,0.705 in ** 3,0.86 in,0.39 in ** 4,0.636 in ** 3,0.52 in ** 3,0.572 in,0.929 in ** 4,1.05 in ** 3
HSS2-1/2X1-1/2X1/8,HSS,3.05 plf,0.84 in ** 2,2.5 in,2.15 in,1.5 in,1.15 in,0.125 in,0.116 in,9.93,18.6,0.668 in ** 4,0.671 in ** 3,0.535 in ** 3,0.892 in,0.3 in ** 4,0.469 in ** 3,0.399 in ** 3,0.597 in,0.687 in ** 4,0.759 in ** 3
HSS2-1/2X1X3/16,HSS,3.68 plf,1.02 in ** 2,2.5 in,1.98 in,1.0 in,0.478 in,0.1875 in,0.174 in,2.75,11.4,0.646 in ** 4,0.713 in ** 3,0.517 in ** 3,0.796 in,0.143 in ** 4,0.36 in ** 3,0.285 in ** 3,0.374 in,0.412 in ** 4,0.648 in ** 3
HSS2-1/2X1X1/8,HSS,2.63 plf,0.724 in ** 2,2.5 in,2.15 in,1.0 in,0.652 in,0.125 in,0.116 in,5.62,18.6,0.503 in ** 4,0.532 in ** 3,0.403 in ** 3,0.834 in,0.115 in ** 4,0.274 in ** 3,0.23 in ** 3,0.399 in,0.322 in ** 4,0.483 in ** 3
HSS2-1/4X2-1/4X1/4,HSS,6.26 plf,1.74 in ** 2,2.25 in,1.55 in,2.25 in,1.55 in,0.25 in,0.233 in,6.66,6.66,1.13 in ** 4,1.28 in ** 3,1.01 in ** 3,0.806 in,1.13 in ** 4,1.28 in ** 3,1.01 in ** 3,0.806 in,1.96 in ** 4,1.85 in ** 3
HSS2-1/4X2-1/4X3/16,HSS,4.96 plf,1.37 in ** 2,2.25 in,1.73 in,2.25 in,1.73 in,0.1875 in,0.174 in,9.93,9.93,0.953 in ** 4,1.04 in ** 3,0.847 in ** 3,0.835 in,0.953 in ** 4,1.04 in ** 3,0.847 in ** 3,0.835 in,1.6 in ** 4,1.48 in ** 3
HSS2-1/4X2-1/4X1/8,HSS,3.48 plf,0.956 in ** 2,2.25 in,1.9 in,2.25 in,1.9 in,0.125 in,0.116 in,16.4,16.4,0.712 in ** 4,0.755 in ** 3,0.633 in ** 3,0.863 in,0.712 in ** 4,0.755 in ** 3,0.633 in ** 3,0.863 in,1.15 in ** 4,1.05 in ** 3
HSS2X2X1/4,HSS,5.41 plf,1.51 in ** 2,2.0 in,1.3 in,2.0 in,1.3 in,0.25 in,0.233 in,5.58,5.58,0.747 in ** 4,0.964 in ** 3,0.747 in ** 3,0.704 in,0.747 in ** 4,0.964 in ** 3,0.747 in ** 3,0.704 in,1.31 in ** 4,1.41 in ** 3
HSS2X2X3/16,HSS,4.32 plf,1.19 in ** 2,2.0 in,1.48 in,2.0 in,1.48 in,0.1875 in,0.174 in,8.49,8.49,0.641 in ** 4,0.797 in ** 3,0.641 in ** 3,0.733 in,0.641 in ** 4,0.797 in ** 3,0.641 in ** 3,0.733 in,1.09 in ** 4,1.14 in ** 3
HSS2X2X1/8,HSS,3.05 plf,0.84 in ** 2,2.0 in,1.65 in,2.0 in,1.65 in,0.125 in,0.116 in,14.2,14.2,0.486 in ** 4,0.584 in ** 3,0.486 in ** 3,0.761 in,0.486 in ** 4,0.584 in ** 3,0.486 in ** 3,0.761 in,0.796 in ** 4,0.817 in ** 3
HSS2X1-1/2X3/16,HSS,3.68 plf,1.02 in ** 2,2.0 in,1.48 in,1.5 in,0.978 in,0.1875 in,0.174 in,5.62,8.49,0.495 in ** 4,0.639 in ** 3,0.495 in ** 3,0.697 in,0.313 in ** 4,0.521 in ** 3,0.417 in ** 3,0.554 in,0.664 in ** 4,0.822 in ** 3
HSS2X1-1/2X1/8,HSS,2.63 plf,0.724 in ** 2,2.0 in,1.65 in,1.5 in,1.15 in,0.125 in,0.116 in,9.93,14.2,0.383 in ** 4,0.475 in ** 3,0.383 in ** 3,0.728 in,0.244 in ** 4,0.389 in ** 3,0.325 in ** 3,0.581 in,0.496 in ** 4,0.599 in ** 3
HSS2X1X3/16,HSS,3.04 plf,0.845 in ** 2,2.0 in,1.48 in,1.0 in,0.478 in,0.1875 in,0.174 in,2.75,8.49,0.35 in ** 4,0.48 in ** 3,0.35 in ** 3,0.643 in,0.112 in ** 4,0.288 in ** 3,0.225 in ** 3,0.365 in,0.301 in ** 4,0.505 in ** 3
HSS2X1X1/8,HSS,2.2 plf,0.608 in ** 2,2.0 in,1.65 in,1.0 in,0.652 in,0.125 in,0.116 in,5.62,14.2,0.28 in ** 4,0.366 in ** 3,0.28 in ** 3,0.679 in,0.0922 in ** 4,0.223 in ** 3,0.184 in ** 3,0.39 in,0.238 in ** 4,0.38 in ** 3
HSS1-1/2X1-1/2X1/4,HSS,3.71 plf,1.04 in ** 2,1.5 in,0.801 in,1.5 in,0.801 in,0.25 in,0.233 in,3.44,3.44,0.26 in ** 4,0.469 in ** 3,0.346 in ** 3,0.5 in,0.26 in ** 4,0.469 in ** 3,0.346 in ** 3,0.5 in,0.47 in ** 4,0.699 in ** 3
HSS1-1/2X1-1/2X3/16,HSS,3.04 plf,0.845 in ** 2,1.5 in,0.978 in,1.5 in,0.978 in,0.188 in,0.174 in,5.62,5.62,0.236 in ** 4,0.406 in ** 3,0.315 in ** 3,0.528 in,0.236 in ** 4,0.406 in ** 3,0.315 in ** 3,0.528 in,0.414 in ** 4,0.592 in ** 3
HSS1-1/2X1-1/2X1/8,HSS,2.2 plf,0.608 in ** 2,1.5 in,1.15 in,1.5 in,1.15 in,0.125 in,0.116 in,9.93,9.93,0.188 in ** 4,0.309 in ** 3,0.251 in ** 3,0.557 in,0.188 in ** 4,0.309 in ** 3,0.251 in ** 3,0.557 in,0.316 in ** 4,0.438 in ** 3
