size,type,W,A,H_t,h,B,b,t_nom,t,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C
HSS6X4X5/16,HSS,19.08 plf,5.26 in ** 2,6.0 in,5.13 in,4.0 in,3.13 in,0.3125 in,0.291 in,10.7,17.6,24.8 in ** 4,10.3 in ** 3,8.27 in ** 3,2.17 in,13.2 in ** 4,7.75 in ** 3,6.58 in ** 3,1.58 in,28.4 in ** 4,12.2 in ** 3
HSS6X4X1/4,HSS,15.62 plf,4.3 in ** 2,6.0 in,5.3 in,4.0 in,3.3 in,0.25 in,0.233 in,14.2,22.8,20.9 in ** 4,8.53 in ** 3,6.96 in ** 3,2.2 in,11.1 in ** 4,6.45 in ** 3,5.56 in ** 3,1.61 in,23.6 in ** 4,10.1 in ** 3
HSS6X4X3/16,HSS,11.97 plf,3.28 in ** 2,6.0 in,5.48 in,4.0 in,3.48 in,0.1875 in,0.174 in,20,31.5,16.4 in ** 4,6.6 in ** 3,5.46 in ** 3,2.23 in,8.76 in ** 4,5.0 in ** 3,4.38 in ** 3,1.63 in,18.2 in ** 4,7.74 in ** 3
HSS6X4X1/8,HSS,8.16 plf,2.23 in ** 2,6.0 in,5.65 in,4.0 in,3.65 in,0.125 in,0.116 in,31.5,48.7,11.4 in ** 4,4.56 in ** 3,3.81 in ** 3,2.26 in,6.15 in ** 4,3.46 in ** 3,3.08 in ** 3,1.66 in,12.6 in ** 4,5.3 in ** 3
HSS6X3X1/2,HSS,25.03 plf,6.95 in ** 2,6.0 in,4.61 in,3.0 in,1.6 in,0.5 in,0.465 in,3.45,9.9,26.8 in ** 4,12.1 in ** 3,8.95 in ** 3,1.97 in,8.69 in ** 4,7.28 in ** 3,5.79 in ** 3,1.12 in,23.1 in ** 4,12.7 in ** 3
HSS6X3X3/8,HSS,19.82 plf,5.48 in ** 2,6.0 in,4.95 in,3.0 in,1.95 in,0.375 in,0.349 in,5.6,14.2,22.7 in ** 4,9.9 in ** 3,7.57 in ** 3,2.04 in,7.48 in ** 4,6.03 in ** 3,4.99 in ** 3,1.17 in,19.3 in ** 4,10.3 in ** 3
HSS6X3X5/16,HSS,16.96 plf,4.68 in ** 2,6.0 in,5.13 in,3.0 in,2.13 in,0.3125 in,0.291 in,7.31,17.6,20.1 in ** 4,8.61 in ** 3,6.69 in ** 3,2.07 in,6.67 in ** 4,5.27 in ** 3,4.45 in ** 3,1.19 in,16.9 in ** 4,8.91 in ** 3
HSS6X3X1/4,HSS,13.91 plf,3.84 in ** 2,6.0 in,5.3 in,3.0 in,2.3 in,0.25 in,0.233 in,9.88,22.8,17.0 in ** 4,7.19 in ** 3,5.66 in ** 3,2.1 in,5.7 in ** 4,4.41 in ** 3,3.8 in ** 3,1.22 in,14.2 in ** 4,7.39 in ** 3
HSS6X3X3/16,HSS,10.7 plf,2.93 in ** 2,6.0 in,5.48 in,3.0 in,2.48 in,0.1875 in,0.174 in,14.2,31.5,13.4 in ** 4,5.59 in ** 3,4.47 in ** 3,2.14 in,4.55 in ** 4,3.45 in ** 3,3.03 in ** 3,1.25 in,11.1 in ** 4,5.71 in ** 3
HSS6X3X1/8,HSS,7.31 plf,2.0 in ** 2,6.0 in,5.65 in,3.0 in,2.65 in,0.125 in,0.116 in,22.9,48.7,9.43 in ** 4,3.87 in ** 3,3.14 in ** 3,2.17 in,3.23 in ** 4,2.4 in ** 3,2.15 in ** 3,1.27 in,7.73 in ** 4,3.93 in ** 3
