size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,k_1,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,Q_f,Q_w,r_ts,h_o,PA,PB,PC,PD,T,WG_i
W21X50,W,50.0 plf,14.7 in ** 2,21 in,20.8 in,20.875 in,6.53 in,6.5 in,0.38 in,0.375 in,0.1875 in,0.535 in,0.5625 in,1.04 in,1.25 in,0.8125 in,6.1,49.4,984.0 in ** 4,110.0 in ** 3,94.5 in ** 3,8.18 in,24.9 in ** 4,12.2 in ** 3,7.64 in ** 3,1.3 in,1.14 in ** 4,2570.0 in ** 6,33.1 in ** 2,28.9 in ** 4,16.7 in ** 3,53.9 in ** 3,1.64 in,20.3 in,59.6 in,66.1 in,48.1 in,54.7 in,18.375 in,3.5 in
W21X44,W,44.0 plf,13.0 in ** 2,21 in,20.7 in,20.625 in,6.5 in,6.5 in,0.35 in,0.375 in,0.1875 in,0.45 in,0.4375 in,0.95 in,1.125 in,0.8125 in,7.22,53.6,843.0 in ** 4,95.4 in ** 3,81.6 in ** 3,8.06 in,20.7 in ** 4,10.2 in ** 3,6.37 in ** 3,1.26 in,0.77 in ** 4,2110.0 in ** 6,32.9 in ** 2,24.1 in ** 4,14.0 in ** 3,46.8 in ** 3,1.6 in,20.3 in,59.3 in,65.8 in,47.9 in,54.4 in,18.375 in,3.5 in
W18X311,W,311.0 plf,91.6 in ** 2,18 in,22.3 in,22.375 in,12.0 in,12.0 in,1.52 in,1.5 in,0.75 in,2.74 in,2.75 in,3.24 in,3.5625 in,1.5625 in,2.19,10.4,6970.0 in ** 4,754.0 in ** 3,624.0 in ** 3,8.72 in,795.0 in ** 4,207.0 in ** 3,132.0 in ** 3,2.95 in,176.0 in ** 4,76200.0 in ** 6,58.7 in ** 2,482.0 in ** 4,140.0 in ** 3,375.0 in ** 3,3.53 in,19.6 in,76.7 in,88.7 in,56.6 in,68.6 in,15.125 in,5.5 in
W18X283,W,283.0 plf,83.3 in ** 2,18 in,21.9 in,21.875 in,11.9 in,11.875 in,1.4 in,1.375 in,0.6875 in,2.5 in,2.5 in,3.0 in,3.375 in,1.5 in,2.38,11.3,6170.0 in ** 4,676.0 in ** 3,565.0 in ** 3,8.61 in,704.0 in ** 4,185.0 in ** 3,118.0 in ** 3,2.91 in,134.0 in ** 4,65900.0 in ** 6,57.7 in ** 2,429.0 in ** 4,127.0 in ** 3,339.0 in ** 3,3.47 in,19.4 in,75.8 in,87.7 in,55.7 in,67.6 in,15.125 in,5.5 in
W18X258,W,258.0 plf,76.0 in ** 2,18 in,21.5 in,21.5 in,11.8 in,11.75 in,1.28 in,1.25 in,0.625 in,2.3 in,2.3125 in,2.7 in,3.1875 in,1.4375 in,2.56,12.5,5510.0 in ** 4,611.0 in ** 3,514.0 in ** 3,8.53 in,628.0 in ** 4,166.0 in ** 3,107.0 in ** 3,2.88 in,103.0 in ** 4,57600.0 in ** 6,56.6 in ** 2,384.0 in ** 4,116.0 in ** 3,306.0 in ** 3,3.42 in,19.2 in,75.1 in,86.9 in,54.8 in,66.6 in,15.125 in,5.5 in
W18X234,W,234.0 plf,68.6 in ** 2,18 in,21.1 in,21.0 in,11.7 in,11.625 in,1.16 in,1.1875 in,0.625 in,2.11 in,2.125 in,2.51 in,3.0 in,1.375 in,2.76,13.8,4900.0 in ** 4,549.0 in ** 3,466.0 in ** 3,8.44 in,558.0 in ** 4,149.0 in ** 3,95.8 in ** 3,2.85 in,78.7 in ** 4,50100.0 in ** 6,55.5 in ** 2,343.0 in ** 4,106.0 in ** 3,276.0 in ** 3,3.37 in,19.0 in,74.3 in,86.0 in,53.9 in,65.6 in,15.125 in,5.5 in
W18X211,W,211.0 plf,62.3 in ** 2,18 in,20.7 in,20.625 in,11.6 in,11.5 in,1.06 in,1.0625 in,0.5625 in,1.91 in,1.9375 in,2.31 in,2.8125 in,1.375 in,3.02,15.1,4330.0 in ** 4,490.0 in ** 3,419.0 in ** 3,8.35 in,493.0 in ** 4,132.0 in ** 3,85.3 in ** 3,2.82 in,58.6 in ** 4,43400.0 in ** 6,54.5 in ** 2,302.0 in ** 4,94.6 in ** 3,246.0 in ** 3,3.32 in,18.8 in,73.4 in,85.0 in,53.0 in,64.6 in,15.125 in,5.5 in
W18X192,W,192.0 plf,56.2 in ** 2,18 in,20.4 in,20.375 in,11.5 in,11.5 in,0.96 in,0.9375 in,0.5 in,1.75 in,1.75 in,2.15 in,2.625 in,1.3125 in,3.27,16.7,3870.0 in ** 4,442.0 in ** 3,380.0 in ** 3,8.28 in,440.0 in ** 4,119.0 in ** 3,76.8 in ** 3,2.79 in,44.7 in ** 4,38000.0 in ** 6,53.6 in ** 2,270.0 in ** 4,86.0 in ** 3,222.0 in ** 3,3.28 in,18.7 in,72.7 in,84.2 in,52.3 in,63.8 in,15.125 in,5.5 in
W18X175,W,175.0 plf,51.4 in ** 2,18 in,20.0 in,20.0 in,11.4 in,11.375 in,0.89 in,0.875 in,0.4375 in,1.59 in,1.5625 in,1.99 in,2.4375 in,1.25 in,3.58,18.0,3450.0 in ** 4,398.0 in ** 3,344.0 in ** 3,8.2 in,391.0 in ** 4,106.0 in ** 3,68.8 in ** 3,2.76 in,33.8 in ** 4,33300.0 in ** 6,52.5 in ** 2,238.0 in ** 4,76.9 in ** 3,198.0 in ** 3,3.24 in,18.4 in,71.7 in,83.1 in,51.4 in,62.8 in,15.125 in,5.5 in
W18X158,W,158.0 plf,46.3 in ** 2,18 in,19.7 in,19.75 in,11.3 in,11.25 in,0.81 in,0.8125 in,0.4375 in,1.44 in,1.4375 in,1.84 in,2.375 in,1.25 in,3.92,19.8,3060.0 in ** 4,356.0 in ** 3,310.0 in ** 3,8.12 in,347.0 in ** 4,94.8 in ** 3,61.4 in ** 3,2.74 in,25.2 in ** 4,29000.0 in ** 6,51.6 in ** 2,210.0 in ** 4,69.0 in ** 3,177.0 in ** 3,3.2 in,18.3 in,71.0 in,82.3 in,50.7 in,62.0 in,15.125 in,5.5 in
W18X143,W,143.0 plf,42.0 in ** 2,18 in,19.5 in,19.5 in,11.2 in,11.25 in,0.73 in,0.75 in,0.375 in,1.32 in,1.3125 in,1.72 in,2.1875 in,1.1875 in,4.25,22.0,2750.0 in ** 4,322.0 in ** 3,282.0 in ** 3,8.09 in,311.0 in ** 4,85.4 in ** 3,55.5 in ** 3,2.72 in,19.2 in ** 4,25700.0 in ** 6,50.9 in ** 2,188.0 in ** 4,62.8 in ** 3,160.0 in ** 3,3.17 in,18.2 in,70.4 in,81.6 in,50.2 in,61.4 in,15.125 in,5.5 in
W18X130,W,130.0 plf,38.3 in ** 2,18 in,19.3 in,19.25 in,11.2 in,11.125 in,0.67 in,0.6875 in,0.375 in,1.2 in,1.1875 in,1.6 in,2.0625 in,1.1875 in,4.65,23.9,2460.0 in ** 4,290.0 in ** 3,256.0 in ** 3,8.03 in,278.0 in ** 4,76.7 in ** 3,49.9 in ** 3,2.7 in,14.5 in ** 4,22700.0 in ** 6,50.7 in ** 2,170.0 in ** 4,57.2 in ** 3,146.0 in ** 3,3.13 in,18.1 in,70.2 in,81.4 in,49.8 in,61.0 in,15.125 in,5.5 in
W18X119,W,119.0 plf,35.1 in ** 2,18 in,19.0 in,19.0 in,11.3 in,11.25 in,0.655 in,0.625 in,0.3125 in,1.06 in,1.0625 in,1.46 in,1.9375 in,1.1875 in,5.31,24.5,2190.0 in ** 4,262.0 in ** 3,231.0 in ** 3,7.9 in,253.0 in ** 4,69.1 in ** 3,44.9 in ** 3,2.69 in,10.6 in ** 4,20300.0 in ** 6,50.7 in ** 2,152.0 in ** 4,50.6 in ** 3,131.0 in ** 3,3.13 in,17.9 in,69.9 in,81.2 in,49.3 in,60.6 in,15.125 in,5.5 in
W18X106,W,106.0 plf,31.1 in ** 2,18 in,18.7 in,18.75 in,11.2 in,11.25 in,0.59 in,0.5625 in,0.3125 in,0.94 in,0.9375 in,1.34 in,1.8125 in,1.125 in,5.96,27.2,1910.0 in ** 4,230.0 in ** 3,204.0 in ** 3,7.84 in,220.0 in ** 4,60.5 in ** 3,39.4 in ** 3,2.66 in,7.48 in ** 4,17400.0 in ** 6,49.7 in ** 2,131.0 in ** 4,44.3 in ** 3,114.0 in ** 3,3.1 in,17.8 in,69.1 in,80.3 in,48.6 in,59.8 in,15.125 in,5.5 in
W18X97,W,97.0 plf,28.5 in ** 2,18 in,18.6 in,18.625 in,11.1 in,11.125 in,0.535 in,0.5625 in,0.3125 in,0.87 in,0.875 in,1.27 in,1.75 in,1.125 in,6.41,30.0,1750.0 in ** 4,211.0 in ** 3,188.0 in ** 3,7.82 in,201.0 in ** 4,55.3 in ** 3,36.1 in ** 3,2.65 in,5.86 in ** 4,15800.0 in ** 6,49.2 in ** 2,119.0 in ** 4,40.7 in ** 3,105.0 in ** 3,3.08 in,17.7 in,68.7 in,79.8 in,48.3 in,59.4 in,15.125 in,5.5 in
W18X86,W,86.0 plf,25.3 in ** 2,18 in,18.4 in,18.375 in,11.1 in,11.125 in,0.48 in,0.5 in,0.25 in,0.77 in,0.75 in,1.17 in,1.625 in,1.0625 in,7.2,33.4,1530.0 in ** 4,186.0 in ** 3,166.0 in ** 3,7.77 in,175.0 in ** 4,48.4 in ** 3,31.6 in ** 3,2.63 in,4.1 in ** 4,13600.0 in ** 6,48.9 in ** 2,105.0 in ** 4,36.0 in ** 3,92.4 in ** 3,3.05 in,17.6 in,68.4 in,79.5 in,47.9 in,59.0 in,15.125 in,5.5 in
W18X76,W,76.0 plf,22.3 in ** 2,18 in,18.2 in,18.25 in,11.0 in,11.0 in,0.425 in,0.4375 in,0.25 in,0.68 in,0.6875 in,1.08 in,1.5625 in,1.0625 in,8.11,37.8,1330.0 in ** 4,163.0 in ** 3,146.0 in ** 3,7.73 in,152.0 in ** 4,42.2 in ** 3,27.6 in ** 3,2.61 in,2.83 in ** 4,11700.0 in ** 6,48.2 in ** 2,90.1 in ** 4,31.5 in ** 3,80.6 in ** 3,3.02 in,17.5 in,67.9 in,78.9 in,47.4 in,58.4 in,15.125 in,5.5 in
W18X71,W,71.0 plf,20.9 in ** 2,18 in,18.5 in,18.5 in,7.64 in,7.625 in,0.495 in,0.5 in,0.25 in,0.81 in,0.8125 in,1.21 in,1.5 in,0.875 in,4.71,32.4,1170.0 in ** 4,146.0 in ** 3,127.0 in ** 3,7.5 in,60.3 in ** 4,24.7 in ** 3,15.8 in ** 3,1.7 in,3.49 in ** 4,4700.0 in ** 6,33.8 in ** 2,52.3 in ** 4,25.6 in ** 3,72.4 in ** 3,2.05 in,17.7 in,58.3 in,65.9 in,44.6 in,52.3 in,15.5 in,3.5 in
W18X65,W,65.0 plf,19.1 in ** 2,18 in,18.4 in,18.375 in,7.59 in,7.625 in,0.45 in,0.4375 in,0.25 in,0.75 in,0.75 in,1.15 in,1.4375 in,0.875 in,5.06,35.7,1070.0 in ** 4,133.0 in ** 3,117.0 in ** 3,7.49 in,54.8 in ** 4,22.5 in ** 3,14.4 in ** 3,1.69 in,2.73 in ** 4,4240.0 in ** 6,33.5 in ** 2,47.7 in ** 4,23.6 in ** 3,66.3 in ** 3,2.03 in,17.7 in,58.0 in,65.6 in,44.4 in,52.0 in,15.5 in,3.5 in
W18X60,W,60.0 plf,17.6 in ** 2,18 in,18.2 in,18.25 in,7.56 in,7.5 in,0.415 in,0.4375 in,0.25 in,0.695 in,0.6875 in,1.1 in,1.375 in,0.8125 in,5.44,38.7,984.0 in ** 4,123.0 in ** 3,108.0 in ** 3,7.47 in,50.1 in ** 4,20.6 in ** 3,13.3 in ** 3,1.68 in,2.17 in ** 4,3850.0 in ** 6,33.1 in ** 2,43.5 in ** 4,21.7 in ** 3,60.6 in ** 3,2.02 in,17.5 in,57.5 in,65.1 in,44.0 in,51.5 in,15.5 in,3.5 in
W18X55,W,55.0 plf,16.2 in ** 2,18 in,18.1 in,18.125 in,7.53 in,7.5 in,0.39 in,0.375 in,0.1875 in,0.63 in,0.625 in,1.03 in,1.3125 in,0.8125 in,5.98,41.1,890.0 in ** 4,112.0 in ** 3,98.3 in ** 3,7.41 in,44.9 in ** 4,18.5 in ** 3,11.9 in ** 3,1.67 in,1.66 in ** 4,3430.0 in ** 6,32.9 in ** 2,39.0 in ** 4,19.6 in ** 3,55.3 in ** 3,2.0 in,17.5 in,57.3 in,64.8 in,43.7 in,51.3 in,15.5 in,3.5 in
W18X50,W,50.0 plf,14.7 in ** 2,18 in,18.0 in,18.0 in,7.5 in,7.5 in,0.355 in,0.375 in,0.1875 in,0.57 in,0.5625 in,0.972 in,1.25 in,0.8125 in,6.57,45.2,800.0 in ** 4,101.0 in ** 3,88.9 in ** 3,7.38 in,40.1 in ** 4,16.6 in ** 3,10.7 in ** 3,1.65 in,1.24 in ** 4,3040.0 in ** 6,32.7 in ** 2,34.9 in ** 4,17.7 in ** 3,49.9 in ** 3,1.98 in,17.4 in,57.1 in,64.6 in,43.5 in,51.0 in,15.5 in,3.5 in
W18X46,W,46.0 plf,13.5 in ** 2,18 in,18.1 in,18.0 in,6.06 in,6.0 in,0.36 in,0.375 in,0.1875 in,0.605 in,0.625 in,1.01 in,1.25 in,0.8125 in,5.01,44.6,712.0 in ** 4,90.7 in ** 3,78.8 in ** 3,7.25 in,22.5 in ** 4,11.7 in ** 3,7.43 in ** 3,1.29 in,1.22 in ** 4,1720.0 in ** 6,26.5 in ** 2,24.3 in ** 4,15.1 in ** 3,44.9 in ** 3,1.58 in,17.5 in,52.9 in,59.0 in,42.3 in,48.3 in,15.5 in,3.5 in
W18X40,W,40.0 plf,11.8 in ** 2,18 in,17.9 in,17.875 in,6.02 in,6.0 in,0.315 in,0.3125 in,0.1875 in,0.525 in,0.5 in,0.927 in,1.1875 in,0.8125 in,5.73,50.9,612.0 in ** 4,78.4 in ** 3,68.4 in ** 3,7.21 in,19.1 in ** 4,10.0 in ** 3,6.35 in ** 3,1.27 in,0.81 in ** 4,1440.0 in ** 6,26.1 in ** 2,20.7 in ** 4,13.0 in ** 3,38.6 in ** 3,1.56 in,17.4 in,52.6 in,58.6 in,41.8 in,47.8 in,15.5 in,3.5 in
W18X35,W,35.0 plf,10.3 in ** 2,18 in,17.7 in,17.75 in,6.0 in,6.0 in,0.3 in,0.3125 in,0.1875 in,0.425 in,0.4375 in,0.827 in,1.125 in,0.75 in,7.06,53.5,510.0 in ** 4,66.5 in ** 3,57.6 in ** 3,7.04 in,15.3 in ** 4,8.06 in ** 3,5.12 in ** 3,1.22 in,0.506 in ** 4,1140.0 in ** 6,25.9 in ** 2,16.5 in ** 4,10.5 in ** 3,32.7 in ** 3,1.51 in,17.3 in,52.1 in,58.1 in,41.4 in,47.4 in,15.5 in,3.5 in
W16X100,W,100.0 plf,29.4 in ** 2,16 in,17.0 in,17.0 in,10.4 in,10.375 in,0.585 in,0.5625 in,0.3125 in,0.985 in,1.0 in,1.39 in,1.875 in,1.125 in,5.29,24.3,1490.0 in ** 4,198.0 in ** 3,175.0 in ** 3,7.1 in,186.0 in ** 4,54.9 in ** 3,35.7 in ** 3,2.51 in,7.73 in ** 4,11900.0 in ** 6,41.6 in ** 2,107.0 in ** 4,38.7 in ** 3,98.5 in ** 3,2.92 in,16.0 in,63.3 in,73.7 in,44.4 in,54.8 in,13.25 in,5.5 in
W16X89,W,89.0 plf,26.2 in ** 2,16 in,16.8 in,16.75 in,10.4 in,10.375 in,0.525 in,0.5 in,0.25 in,0.875 in,0.875 in,1.28 in,1.75 in,1.0625 in,5.92,27.0,1300.0 in ** 4,175.0 in ** 3,155.0 in ** 3,7.05 in,163.0 in ** 4,48.1 in ** 3,31.4 in ** 3,2.49 in,5.45 in ** 4,10200.0 in ** 6,41.4 in ** 2,94.2 in ** 4,34.4 in ** 3,87.3 in ** 3,2.88 in,15.9 in,63.1 in,73.5 in,44.0 in,54.4 in,13.25 in,5.5 in
W16X77,W,77.0 plf,22.6 in ** 2,16 in,16.5 in,16.5 in,10.3 in,10.25 in,0.455 in,0.4375 in,0.25 in,0.76 in,0.75 in,1.16 in,1.625 in,1.0625 in,6.77,31.2,1110.0 in ** 4,150.0 in ** 3,134.0 in ** 3,7.0 in,138.0 in ** 4,41.1 in ** 3,26.9 in ** 3,2.47 in,3.57 in ** 4,8590.0 in ** 6,40.5 in ** 2,79.3 in ** 4,29.4 in ** 3,74.4 in ** 3,2.85 in,15.7 in,62.3 in,72.6 in,43.3 in,53.6 in,13.25 in,5.5 in
W16X67,W,67.0 plf,19.6 in ** 2,16 in,16.3 in,16.375 in,10.2 in,10.25 in,0.395 in,0.375 in,0.1875 in,0.665 in,0.6875 in,1.07 in,1.5625 in,1.0 in,7.7,35.9,954.0 in ** 4,130.0 in ** 3,117.0 in ** 3,6.96 in,119.0 in ** 4,35.5 in ** 3,23.2 in ** 3,2.46 in,2.39 in ** 4,7300.0 in ** 6,39.9 in ** 2,67.6 in ** 4,25.5 in ** 3,64.1 in ** 3,2.82 in,15.6 in,61.7 in,71.9 in,42.8 in,53.0 in,13.25 in,5.5 in
W16X57,W,57.0 plf,16.8 in ** 2,16 in,16.4 in,16.375 in,7.12 in,7.125 in,0.43 in,0.4375 in,0.25 in,0.715 in,0.6875 in,1.12 in,1.375 in,0.875 in,4.98,33.0,758.0 in ** 4,105.0 in ** 3,92.2 in ** 3,6.72 in,43.1 in ** 4,18.9 in ** 3,12.1 in ** 3,1.6 in,2.22 in ** 4,2660.0 in ** 6,27.9 in ** 2,35.5 in ** 4,18.8 in ** 3,52.0 in ** 3,1.92 in,15.7 in,52.6 in,59.7 in,39.9 in,47.0 in,13.625 in,3.5 in
W16X50,W,50.0 plf,14.7 in ** 2,16 in,16.3 in,16.25 in,7.07 in,7.125 in,0.38 in,0.375 in,0.1875 in,0.63 in,0.625 in,1.03 in,1.3125 in,0.8125 in,5.61,37.4,659.0 in ** 4,92.0 in ** 3,81.0 in ** 3,6.68 in,37.2 in ** 4,16.3 in ** 3,10.5 in ** 3,1.59 in,1.52 in ** 4,2270.0 in ** 6,27.7 in ** 2,30.8 in ** 4,16.5 in ** 3,45.6 in ** 3,1.89 in,15.7 in,52.3 in,59.4 in,39.7 in,46.7 in,13.625 in,3.5 in
W16X45,W,45.0 plf,13.3 in ** 2,16 in,16.1 in,16.125 in,7.04 in,7.0 in,0.345 in,0.375 in,0.1875 in,0.565 in,0.5625 in,0.967 in,1.25 in,0.8125 in,6.23,41.1,586.0 in ** 4,82.3 in ** 3,72.7 in ** 3,6.65 in,32.8 in ** 4,14.5 in ** 3,9.34 in ** 3,1.57 in,1.11 in ** 4,1990.0 in ** 6,27.3 in ** 2,27.2 in ** 4,14.7 in ** 3,40.6 in ** 3,1.87 in,15.5 in,52.0 in,59.0 in,39.2 in,46.3 in,13.625 in,3.5 in
W16X40,W,40.0 plf,11.8 in ** 2,16 in,16.0 in,16.0 in,7.0 in,7.0 in,0.305 in,0.3125 in,0.1875 in,0.505 in,0.5 in,0.907 in,1.1875 in,0.8125 in,6.93,46.5,518.0 in ** 4,73.0 in ** 3,64.7 in ** 3,6.63 in,28.9 in ** 4,12.7 in ** 3,8.25 in ** 3,1.57 in,0.794 in ** 4,1730.0 in ** 6,27.1 in ** 2,24.0 in ** 4,13.1 in ** 3,36.0 in ** 3,1.86 in,15.5 in,51.7 in,58.7 in,39.0 in,46.0 in,13.625 in,3.5 in
W16X36,W,36.0 plf,10.6 in ** 2,16 in,15.9 in,15.875 in,6.99 in,7.0 in,0.295 in,0.3125 in,0.1875 in,0.43 in,0.4375 in,0.832 in,1.125 in,0.75 in,8.12,48.1,448.0 in ** 4,64.0 in ** 3,56.5 in ** 3,6.51 in,24.5 in ** 4,10.8 in ** 3,7.0 in ** 3,1.52 in,0.545 in ** 4,1460.0 in ** 6,27.0 in ** 2,20.3 in ** 4,11.1 in ** 3,31.6 in ** 3,1.83 in,15.5 in,51.5 in,58.5 in,38.8 in,45.8 in,13.625 in,3.5 in
W16X31,W,31.0 plf,9.13 in ** 2,16 in,15.9 in,15.875 in,5.53 in,5.5 in,0.275 in,0.25 in,0.125 in,0.44 in,0.4375 in,0.842 in,1.125 in,0.75 in,6.28,51.6,375.0 in ** 4,54.0 in ** 3,47.2 in ** 3,6.41 in,12.4 in ** 4,7.03 in ** 3,4.49 in ** 3,1.17 in,0.461 in ** 4,739.0 in ** 6,21.4 in ** 2,13.0 in ** 4,8.94 in ** 3,26.6 in ** 3,1.42 in,15.5 in,47.2 in,52.7 in,37.3 in,42.9 in,13.625 in,3.5 in
W16X26,W,26.0 plf,7.68 in ** 2,16 in,15.7 in,15.75 in,5.5 in,5.5 in,0.25 in,0.25 in,0.125 in,0.345 in,0.375 in,0.747 in,1.0625 in,0.75 in,7.97,56.8,301.0 in ** 4,44.2 in ** 3,38.4 in ** 3,6.26 in,9.6 in ** 4,5.48 in ** 3,3.49 in ** 3,1.12 in,0.262 in ** 4,565.0 in ** 6,21.1 in ** 2,10.0 in ** 4,6.95 in ** 3,21.6 in ** 3,1.38 in,15.4 in,46.7 in,52.2 in,36.9 in,42.4 in,13.625 in,3.5 in
W14X873,W,873.0 plf,257.0 in ** 2,14 in,23.6 in,23.625 in,18.8 in,18.75 in,3.94 in,3.9375 in,2.0 in,5.51 in,5.5 in,6.1 in,6.1875 in,2.5625 in,1.71,2.89,18100.0 in ** 4,2030.0 in ** 3,1530.0 in ** 3,8.39 in,6170.0 in ** 4,1020.0 in ** 3,656.0 in ** 3,4.9 in,2270.0 in ** 4,505000.0 in ** 6,85.0 in ** 2,2200.0 in ** 4,370.0 in ** 3,1010.0 in ** 3,6.04 in,18.1 in,95.2 in,114.0 in,66.0 in,84.8 in,11.25 in,8.5 in
W14X808,W,808.0 plf,238.0 in ** 2,14 in,22.8 in,22.75 in,18.6 in,18.625 in,3.74 in,3.75 in,1.875 in,5.12 in,5.125 in,5.71 in,5.75 in,2.5 in,1.82,3.04,15900.0 in ** 4,1830.0 in ** 3,1390.0 in ** 3,8.17 in,5550.0 in ** 4,930.0 in ** 3,597.0 in ** 3,4.83 in,1840.0 in ** 4,434000.0 in ** 6,82.2 in ** 2,1960.0 in ** 4,336.0 in ** 3,916.0 in ** 3,5.94 in,17.7 in,93.4 in,112.0 in,64.2 in,82.8 in,11.25 in,8.5 in
W14X730,W,730.0 plf,215.0 in ** 2,14 in,22.4 in,22.375 in,17.9 in,17.875 in,3.07 in,3.0625 in,1.5625 in,4.91 in,4.9375 in,5.51 in,6.1875 in,2.75 in,1.82,3.71,14300.0 in ** 4,1660.0 in ** 3,1280.0 in ** 3,8.17 in,4720.0 in ** 4,816.0 in ** 3,527.0 in ** 3,4.69 in,1450.0 in ** 4,362000.0 in ** 6,78.3 in ** 2,1720.0 in ** 4,318.0 in ** 3,829.0 in ** 3,5.68 in,17.5 in,91.1 in,109.0 in,62.7 in,80.6 in,10.0 in,7.5 in
W14X665,W,665.0 plf,196.0 in ** 2,14 in,21.6 in,21.625 in,17.7 in,17.625 in,2.83 in,2.8125 in,1.4375 in,4.52 in,4.5 in,5.12 in,5.8125 in,2.625 in,1.95,4.03,12400.0 in ** 4,1480.0 in ** 3,1150.0 in ** 3,7.98 in,4170.0 in ** 4,730.0 in ** 3,472.0 in ** 3,4.62 in,1120.0 in ** 4,305000.0 in ** 6,75.6 in ** 2,1510.0 in ** 4,287.0 in ** 3,739.0 in ** 3,5.57 in,17.1 in,89.3 in,107.0 in,60.9 in,78.6 in,10.0 in,7.5 in
W14X605,W,605.0 plf,178.0 in ** 2,14 in,20.9 in,20.875 in,17.4 in,17.375 in,2.6 in,2.625 in,1.3125 in,4.16 in,4.1875 in,4.76 in,5.4375 in,2.5 in,2.09,4.39,10800.0 in ** 4,1320.0 in ** 3,1040.0 in ** 3,7.8 in,3680.0 in ** 4,652.0 in ** 3,423.0 in ** 3,4.55 in,869.0 in ** 4,258000.0 in ** 6,72.8 in ** 2,1320.0 in ** 4,258.0 in ** 3,657.0 in ** 3,5.44 in,16.7 in,87.6 in,105.0 in,59.2 in,76.6 in,10.0 in,7.5 in
W14X550,W,550.0 plf,162.0 in ** 2,14 in,20.2 in,20.25 in,17.2 in,17.25 in,2.38 in,2.375 in,1.1875 in,3.82 in,3.8125 in,4.42 in,5.125 in,2.375 in,2.25,4.79,9430.0 in ** 4,1180.0 in ** 3,931.0 in ** 3,7.63 in,3250.0 in ** 4,583.0 in ** 3,378.0 in ** 3,4.49 in,669.0 in ** 4,219000.0 in ** 6,70.4 in ** 2,1160.0 in ** 4,232.0 in ** 3,585.0 in ** 3,5.35 in,16.4 in,85.8 in,103.0 in,57.6 in,74.8 in,10.0 in,7.5 in
W14X500,W,500.0 plf,147.0 in ** 2,14 in,19.6 in,19.625 in,17.0 in,17.0 in,2.19 in,2.1875 in,1.125 in,3.5 in,3.5 in,4.1 in,4.8125 in,2.3125 in,2.43,5.21,8210.0 in ** 4,1050.0 in ** 3,838.0 in ** 3,7.48 in,2880.0 in ** 4,522.0 in ** 3,339.0 in ** 3,4.43 in,514.0 in ** 4,187000.0 in ** 6,68.4 in ** 2,1020.0 in ** 4,209.0 in ** 3,522.0 in ** 3,5.26 in,16.1 in,85.0 in,102.0 in,56.2 in,73.2 in,10.0 in,7.5 in
W14X455,W,455.0 plf,134.0 in ** 2,14 in,19.0 in,19.0 in,16.8 in,16.875 in,2.02 in,2.0 in,1.0 in,3.21 in,3.1875 in,3.81 in,4.5 in,2.25 in,2.62,5.66,7190.0 in ** 4,936.0 in ** 3,756.0 in ** 3,7.33 in,2560.0 in ** 4,468.0 in ** 3,304.0 in ** 3,4.38 in,395.0 in ** 4,160000.0 in ** 6,66.3 in ** 2,894.0 in ** 4,187.0 in ** 3,466.0 in ** 3,5.17 in,15.8 in,83.2 in,100.0 in,54.8 in,71.6 in,10.0 in,7.5 in
W14X426,W,426.0 plf,125.0 in ** 2,14 in,18.7 in,18.625 in,16.7 in,16.75 in,1.88 in,1.875 in,0.9375 in,3.04 in,3.0625 in,3.63 in,4.3125 in,2.125 in,2.75,6.08,6600.0 in ** 4,869.0 in ** 3,706.0 in ** 3,7.26 in,2360.0 in ** 4,434.0 in ** 3,283.0 in ** 3,4.34 in,331.0 in ** 4,144000.0 in ** 6,65.4 in ** 2,830.0 in ** 4,176.0 in ** 3,435.0 in ** 3,5.11 in,15.7 in,82.7 in,99.4 in,54.1 in,70.8 in,10.0 in,7.5 in
W14X398,W,398.0 plf,117.0 in ** 2,14 in,18.3 in,18.25 in,16.6 in,16.625 in,1.77 in,1.75 in,0.875 in,2.85 in,2.875 in,3.44 in,4.125 in,2.125 in,2.92,6.44,6000.0 in ** 4,801.0 in ** 3,656.0 in ** 3,7.16 in,2170.0 in ** 4,402.0 in ** 3,262.0 in ** 3,4.31 in,273.0 in ** 4,129000.0 in ** 6,64.1 in ** 2,758.0 in ** 4,163.0 in ** 3,401.0 in ** 3,5.05 in,15.5 in,81.8 in,98.4 in,53.2 in,69.8 in,10.0 in,7.5 in
W14X370,W,370.0 plf,109.0 in ** 2,14 in,17.9 in,17.875 in,16.5 in,16.5 in,1.66 in,1.6875 in,0.8125 in,2.66 in,2.6875 in,3.26 in,3.9375 in,2.0625 in,3.1,6.89,5440.0 in ** 4,736.0 in ** 3,607.0 in ** 3,7.07 in,1990.0 in ** 4,370.0 in ** 3,241.0 in ** 3,4.27 in,222.0 in ** 4,116000.0 in ** 6,62.9 in ** 2,690.0 in ** 4,150.0 in ** 3,367.0 in ** 3,5.0 in,15.2 in,81.0 in,97.5 in,52.3 in,68.8 in,10.0 in,7.5 in
