size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,k_1,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,Q_f,Q_w,r_ts,h_o,PA,PB,PC,PD,T,WG_i
W24X250,W,250.0 plf,73.5 in ** 2,24 in,26.3 in,26.375 in,13.2 in,13.125 in,1.04 in,1.0625 in,0.5625 in,1.89 in,1.875 in,2.39 in,3.125 in,1.75 in,3.49,20.7,8490.0 in ** 4,744.0 in ** 3,644.0 in ** 3,10.7 in,724.0 in ** 4,171.0 in ** 3,110.0 in ** 3,3.14 in,66.6 in ** 4,108000.0 in ** 6,80.6 in ** 2,502.0 in ** 4,140.0 in ** 3,370.0 in ** 3,3.71 in,24.4 in,88.8 in,102.0 in,65.8 in,79.0 in,20.0 in,5.5 in
W24X229,W,229.0 plf,67.2 in ** 2,24 in,26.0 in,26.0 in,13.1 in,13.125 in,0.96 in,0.9375 in,0.5 in,1.73 in,1.75 in,2.23 in,3.0 in,1.6875 in,3.79,22.5,7650.0 in ** 4,675.0 in ** 3,588.0 in ** 3,10.7 in,651.0 in ** 4,154.0 in ** 3,99.4 in ** 3,3.11 in,51.3 in ** 4,96100.0 in ** 6,79.5 in ** 2,450.0 in ** 4,127.0 in ** 3,336.0 in ** 3,3.67 in,24.3 in,88.9 in,102.0 in,65.1 in,78.2 in,20.0 in,5.5 in
W24X207,W,207.0 plf,60.7 in ** 2,24 in,25.7 in,25.75 in,13.0 in,13.0 in,0.87 in,0.875 in,0.4375 in,1.57 in,1.5625 in,2.07 in,2.875 in,1.625 in,4.14,24.8,6820.0 in ** 4,606.0 in ** 3,531.0 in ** 3,10.6 in,578.0 in ** 4,137.0 in ** 3,88.8 in ** 3,3.08 in,38.3 in ** 4,84100.0 in ** 6,78.4 in ** 2,400.0 in ** 4,115.0 in ** 3,302.0 in ** 3,3.62 in,24.1 in,88.0 in,101.0 in,64.4 in,77.4 in,20.0 in,5.5 in
W24X192,W,192.0 plf,56.5 in ** 2,24 in,25.5 in,25.5 in,13.0 in,13.0 in,0.81 in,0.8125 in,0.4375 in,1.46 in,1.4375 in,1.96 in,2.75 in,1.625 in,4.43,26.6,6260.0 in ** 4,559.0 in ** 3,491.0 in ** 3,10.5 in,530.0 in ** 4,126.0 in ** 3,81.8 in ** 3,3.07 in,30.8 in ** 4,76300.0 in ** 6,78.1 in ** 2,371.0 in ** 4,107.0 in ** 3,280.0 in ** 3,3.6 in,24.0 in,88.0 in,101.0 in,64.0 in,77.0 in,20.0 in,5.5 in
W24X176,W,176.0 plf,51.7 in ** 2,24 in,25.2 in,25.25 in,12.9 in,12.875 in,0.75 in,0.75 in,0.375 in,1.34 in,1.3125 in,1.84 in,2.625 in,1.5625 in,4.81,28.7,5680.0 in ** 4,511.0 in ** 3,450.0 in ** 3,10.5 in,479.0 in ** 4,115.0 in ** 3,74.3 in ** 3,3.04 in,23.9 in ** 4,68400.0 in ** 6,76.9 in ** 2,333.0 in ** 4,97.1 in ** 3,254.0 in ** 3,3.57 in,23.9 in,86.7 in,100.0 in,63.3 in,76.2 in,20.0 in,5.5 in
W24X162,W,162.0 plf,47.8 in ** 2,24 in,25.0 in,25.0 in,13.0 in,13.0 in,0.705 in,0.6875 in,0.375 in,1.22 in,1.25 in,1.72 in,2.5 in,1.5625 in,5.31,30.6,5170.0 in ** 4,468.0 in ** 3,414.0 in ** 3,10.4 in,443.0 in ** 4,105.0 in ** 3,68.4 in ** 3,3.05 in,18.5 in ** 4,62600.0 in ** 6,77.3 in ** 2,306.0 in ** 4,89.2 in ** 3,233.0 in ** 3,3.57 in,23.8 in,86.7 in,100.0 in,63.0 in,76.0 in,20.0 in,5.5 in
W24X146,W,146.0 plf,43.0 in ** 2,24 in,24.7 in,24.75 in,12.9 in,12.875 in,0.65 in,0.625 in,0.3125 in,1.09 in,1.0625 in,1.59 in,2.375 in,1.5625 in,5.92,33.2,4580.0 in ** 4,418.0 in ** 3,371.0 in ** 3,10.3 in,391.0 in ** 4,93.2 in ** 3,60.5 in ** 3,3.01 in,13.4 in ** 4,54600.0 in ** 6,76.1 in ** 2,268.0 in ** 4,78.8 in ** 3,207.0 in ** 3,3.53 in,23.6 in,85.9 in,98.8 in,62.3 in,75.2 in,20.0 in,5.5 in
W24X131,W,131.0 plf,38.6 in ** 2,24 in,24.5 in,24.5 in,12.9 in,12.875 in,0.605 in,0.625 in,0.3125 in,0.96 in,0.9375 in,1.46 in,2.25 in,1.5 in,6.7,35.6,4020.0 in ** 4,370.0 in ** 3,329.0 in ** 3,10.2 in,340.0 in ** 4,81.5 in ** 3,53.0 in ** 3,2.97 in,9.5 in ** 4,47100.0 in ** 6,75.9 in ** 2,235.0 in ** 4,69.5 in ** 3,184.0 in ** 3,3.49 in,23.5 in,85.6 in,98.5 in,61.9 in,74.8 in,20.0 in,5.5 in
W24X117,W,117.0 plf,34.4 in ** 2,24 in,24.3 in,24.25 in,12.8 in,12.75 in,0.55 in,0.5625 in,0.3125 in,0.85 in,0.875 in,1.35 in,2.125 in,1.5 in,7.53,39.2,3540.0 in ** 4,327.0 in ** 3,291.0 in ** 3,10.1 in,297.0 in ** 4,71.4 in ** 3,46.5 in ** 3,2.94 in,6.72 in ** 4,40800.0 in ** 6,75.0 in ** 2,204.0 in ** 4,61.0 in ** 3,163.0 in ** 3,3.46 in,23.5 in,85.0 in,97.8 in,61.4 in,74.2 in,20.0 in,5.5 in
W24X104,W,104.0 plf,30.7 in ** 2,24 in,24.1 in,24.0 in,12.8 in,12.75 in,0.5 in,0.5 in,0.25 in,0.75 in,0.75 in,1.25 in,2.0625 in,1.4375 in,8.5,43.1,3100.0 in ** 4,289.0 in ** 3,258.0 in ** 3,10.1 in,259.0 in ** 4,62.4 in ** 3,40.7 in ** 3,2.91 in,4.72 in ** 4,35200.0 in ** 6,74.7 in ** 2,179.0 in ** 4,53.9 in ** 3,144.0 in ** 3,3.42 in,23.4 in,84.7 in,97.5 in,61.0 in,73.8 in,20.0 in,5.5 in
W24X103,W,103.0 plf,30.3 in ** 2,24 in,24.5 in,24.5 in,9.0 in,9.0 in,0.55 in,0.5625 in,0.3125 in,0.98 in,1.0 in,1.48 in,2.25 in,1.5 in,4.59,39.2,3000.0 in ** 4,280.0 in ** 3,245.0 in ** 3,10.0 in,119.0 in ** 4,41.5 in ** 3,26.5 in ** 3,1.99 in,7.07 in ** 4,16600.0 in ** 6,52.9 in ** 2,117.0 in ** 4,48.7 in ** 3,139.0 in ** 3,2.4 in,23.5 in,74.0 in,83.0 in,58.0 in,67.0 in,20.0 in,5.5 in
W24X94,W,94.0 plf,27.7 in ** 2,24 in,24.3 in,24.25 in,9.07 in,9.125 in,0.515 in,0.5 in,0.25 in,0.875 in,0.875 in,1.38 in,2.125 in,1.4375 in,5.18,41.9,2700.0 in ** 4,254.0 in ** 3,222.0 in ** 3,9.87 in,109.0 in ** 4,37.5 in ** 3,24.0 in ** 3,1.98 in,5.26 in ** 4,15000.0 in ** 6,53.1 in ** 2,105.0 in ** 4,43.8 in ** 3,126.0 in ** 3,2.4 in,23.4 in,73.9 in,83.0 in,57.7 in,66.7 in,20.0 in,5.5 in
W24X84,W,84.0 plf,24.7 in ** 2,24 in,24.1 in,24.125 in,9.02 in,9.0 in,0.47 in,0.5 in,0.25 in,0.77 in,0.75 in,1.27 in,2.0625 in,1.4375 in,5.86,45.9,2370.0 in ** 4,224.0 in ** 3,196.0 in ** 3,9.79 in,94.4 in ** 4,32.6 in ** 3,20.9 in ** 3,1.95 in,3.7 in ** 4,12800.0 in ** 6,52.6 in ** 2,91.3 in ** 4,38.4 in ** 3,111.0 in ** 3,2.37 in,23.3 in,73.5 in,82.5 in,57.2 in,66.2 in,20.0 in,5.5 in
W24X76,W,76.0 plf,22.4 in ** 2,24 in,23.9 in,23.875 in,8.99 in,9.0 in,0.44 in,0.4375 in,0.25 in,0.68 in,0.6875 in,1.18 in,1.9375 in,1.4375 in,6.61,49.0,2100.0 in ** 4,200.0 in ** 3,176.0 in ** 3,9.69 in,82.5 in ** 4,28.6 in ** 3,18.4 in ** 3,1.92 in,2.68 in ** 4,11100.0 in ** 6,52.2 in ** 2,79.8 in ** 4,33.8 in ** 3,98.9 in ** 3,2.33 in,23.2 in,73.0 in,82.0 in,56.8 in,65.8 in,20.0 in,5.5 in
W24X68,W,68.0 plf,20.1 in ** 2,24 in,23.7 in,23.75 in,8.97 in,9.0 in,0.415 in,0.4375 in,0.25 in,0.585 in,0.5625 in,1.09 in,1.875 in,1.4375 in,7.66,52.0,1830.0 in ** 4,177.0 in ** 3,154.0 in ** 3,9.55 in,70.4 in ** 4,24.5 in ** 3,15.7 in ** 3,1.87 in,1.87 in ** 4,9430.0 in ** 6,51.8 in ** 2,68.0 in ** 4,28.9 in ** 3,87.0 in ** 3,2.3 in,23.1 in,72.6 in,81.6 in,56.4 in,65.3 in,20.0 in,5.5 in
W24X62,W,62.0 plf,18.2 in ** 2,24 in,23.7 in,23.75 in,7.04 in,7.0 in,0.43 in,0.4375 in,0.25 in,0.59 in,0.5625 in,1.09 in,1.5 in,1.0625 in,5.97,50.1,1550.0 in ** 4,153.0 in ** 3,131.0 in ** 3,9.23 in,34.5 in ** 4,15.7 in ** 3,9.8 in ** 3,1.38 in,1.71 in ** 4,4620.0 in ** 6,40.7 in ** 2,42.2 in ** 4,22.5 in ** 3,75.3 in ** 3,1.75 in,23.1 in,66.8 in,73.8 in,54.4 in,61.5 in,20.75 in,3.5 in
W24X55,W,55.0 plf,16.2 in ** 2,24 in,23.6 in,23.625 in,7.01 in,7.0 in,0.395 in,0.375 in,0.1875 in,0.505 in,0.5 in,1.01 in,1.4375 in,1.0 in,6.94,54.6,1350.0 in ** 4,134.0 in ** 3,114.0 in ** 3,9.11 in,29.1 in ** 4,13.3 in ** 3,8.3 in ** 3,1.34 in,1.18 in ** 4,3870.0 in ** 6,40.5 in ** 2,35.8 in ** 4,19.3 in ** 3,66.1 in ** 3,1.72 in,23.1 in,66.6 in,73.6 in,54.2 in,61.2 in,20.75 in,3.5 in
W21X275,W,275.0 plf,81.8 in ** 2,21 in,24.1 in,24.125 in,12.9 in,12.875 in,1.22 in,1.25 in,0.625 in,2.19 in,2.1875 in,3.37 in,3.4375 in,1.8125 in,2.95,14.2,7690.0 in ** 4,749.0 in ** 3,638.0 in ** 3,9.7 in,787.0 in ** 4,191.0 in ** 3,122.0 in ** 3,3.1 in,107.0 in ** 4,94400.0 in ** 6,70.7 in ** 2,499.0 in ** 4,140.0 in ** 3,369.0 in ** 3,3.68 in,21.9 in,82.4 in,95.3 in,61.1 in,74.0 in,17.25 in,5.5 in
W21X248,W,248.0 plf,73.8 in ** 2,21 in,23.7 in,23.75 in,12.8 in,12.75 in,1.1 in,1.125 in,0.5625 in,1.99 in,2.0 in,3.17 in,3.25 in,1.75 in,3.22,15.8,6830.0 in ** 4,671.0 in ** 3,576.0 in ** 3,9.62 in,699.0 in ** 4,170.0 in ** 3,109.0 in ** 3,3.08 in,80.7 in ** 4,82400.0 in ** 6,69.5 in ** 2,442.0 in ** 4,126.0 in ** 3,330.0 in ** 3,3.63 in,21.7 in,81.6 in,94.4 in,60.2 in,73.0 in,17.25 in,5.5 in
W21X223,W,223.0 plf,66.5 in ** 2,21 in,23.4 in,23.375 in,12.7 in,12.625 in,1.0 in,1.0 in,0.5 in,1.79 in,1.8125 in,2.97 in,3.0625 in,1.6875 in,3.55,17.5,6080.0 in ** 4,601.0 in ** 3,520.0 in ** 3,9.56 in,614.0 in ** 4,150.0 in ** 3,96.7 in ** 3,3.04 in,59.5 in ** 4,71700.0 in ** 6,68.6 in ** 2,390.0 in ** 4,113.0 in ** 3,295.0 in ** 3,3.57 in,21.6 in,80.9 in,93.6 in,59.5 in,72.2 in,17.25 in,5.5 in
W21X201,W,201.0 plf,59.3 in ** 2,21 in,23.0 in,23.0 in,12.6 in,12.625 in,0.91 in,0.9375 in,0.5 in,1.63 in,1.625 in,2.13 in,2.875 in,1.6875 in,3.86,20.6,5310.0 in ** 4,530.0 in ** 3,461.0 in ** 3,9.47 in,542.0 in ** 4,133.0 in ** 3,86.1 in ** 3,3.02 in,40.9 in ** 4,62000.0 in ** 6,67.3 in ** 2,346.0 in ** 4,102.0 in ** 3,264.0 in ** 3,3.55 in,21.4 in,81.1 in,93.7 in,58.6 in,71.2 in,17.25 in,5.5 in
W21X182,W,182.0 plf,53.6 in ** 2,21 in,22.7 in,22.75 in,12.5 in,12.5 in,0.83 in,0.8125 in,0.4375 in,1.48 in,1.5 in,1.98 in,2.75 in,1.625 in,4.22,22.6,4730.0 in ** 4,476.0 in ** 3,417.0 in ** 3,9.4 in,483.0 in ** 4,119.0 in ** 3,77.2 in ** 3,3.0 in,30.7 in ** 4,54400.0 in ** 6,66.3 in ** 2,307.0 in ** 4,91.6 in ** 3,237.0 in ** 3,3.51 in,21.2 in,80.4 in,92.9 in,57.9 in,70.4 in,17.25 in,5.5 in
W21X166,W,166.0 plf,48.8 in ** 2,21 in,22.5 in,22.5 in,12.4 in,12.375 in,0.75 in,0.75 in,0.375 in,1.36 in,1.375 in,1.86 in,2.625 in,1.5625 in,4.57,25.0,4280.0 in ** 4,432.0 in ** 3,380.0 in ** 3,9.36 in,435.0 in ** 4,108.0 in ** 3,70.0 in ** 3,2.99 in,23.6 in ** 4,48500.0 in ** 6,65.5 in ** 2,276.0 in ** 4,83.7 in ** 3,215.0 in ** 3,3.48 in,21.1 in,79.8 in,92.2 in,57.4 in,69.8 in,17.25 in,5.5 in
W21X147,W,147.0 plf,43.2 in ** 2,21 in,22.1 in,22.0 in,12.5 in,12.5 in,0.72 in,0.75 in,0.375 in,1.15 in,1.125 in,1.65 in,2.4375 in,1.5625 in,5.44,26.1,3630.0 in ** 4,373.0 in ** 3,329.0 in ** 3,9.17 in,376.0 in ** 4,92.6 in ** 3,60.1 in ** 3,2.95 in,15.4 in ** 4,41100.0 in ** 6,65.5 in ** 2,235.0 in ** 4,71.0 in ** 3,186.0 in ** 3,3.46 in,21.0 in,79.4 in,91.9 in,56.7 in,69.2 in,17.25 in,5.5 in
W21X132,W,132.0 plf,38.8 in ** 2,21 in,21.8 in,21.875 in,12.4 in,12.5 in,0.65 in,0.625 in,0.3125 in,1.04 in,1.0625 in,1.54 in,2.25 in,1.5625 in,6.01,28.9,3220.0 in ** 4,333.0 in ** 3,295.0 in ** 3,9.12 in,333.0 in ** 4,82.3 in ** 3,53.5 in ** 3,2.93 in,11.3 in ** 4,36000.0 in ** 6,64.4 in ** 2,206.0 in ** 4,62.8 in ** 3,164.0 in ** 3,3.43 in,20.8 in,78.6 in,91.0 in,56.0 in,68.4 in,17.25 in,5.5 in
W21X122,W,122.0 plf,35.9 in ** 2,21 in,21.7 in,21.625 in,12.4 in,12.375 in,0.6 in,0.625 in,0.3125 in,0.96 in,0.9375 in,1.46 in,2.25 in,1.5 in,6.45,31.3,2960.0 in ** 4,307.0 in ** 3,273.0 in ** 3,9.09 in,305.0 in ** 4,75.6 in ** 3,49.2 in ** 3,2.92 in,8.98 in ** 4,32700.0 in ** 6,64.3 in ** 2,191.0 in ** 4,58.7 in ** 3,153.0 in ** 3,3.4 in,20.7 in,78.5 in,90.9 in,55.8 in,68.2 in,17.25 in,5.5 in
W21X111,W,111.0 plf,32.6 in ** 2,21 in,21.5 in,21.5 in,12.3 in,12.375 in,0.55 in,0.5625 in,0.3125 in,0.875 in,0.875 in,1.38 in,2.125 in,1.5 in,7.05,34.1,2670.0 in ** 4,279.0 in ** 3,249.0 in ** 3,9.05 in,274.0 in ** 4,68.2 in ** 3,44.5 in ** 3,2.9 in,6.83 in ** 4,29200.0 in ** 6,63.4 in ** 2,171.0 in ** 4,53.0 in ** 3,138.0 in ** 3,3.37 in,20.6 in,77.9 in,90.2 in,55.3 in,67.6 in,17.25 in,5.5 in
W21X101,W,101.0 plf,29.8 in ** 2,21 in,21.4 in,21.375 in,12.3 in,12.25 in,0.5 in,0.5 in,0.25 in,0.8 in,0.8125 in,1.3 in,2.0625 in,1.4375 in,7.68,37.5,2420.0 in ** 4,253.0 in ** 3,227.0 in ** 3,9.02 in,248.0 in ** 4,61.7 in ** 3,40.3 in ** 3,2.89 in,5.21 in ** 4,26200.0 in ** 6,63.3 in ** 2,156.0 in ** 4,48.6 in ** 3,126.0 in ** 3,3.35 in,20.6 in,77.8 in,90.1 in,55.1 in,67.4 in,17.25 in,5.5 in
W21X93,W,93.0 plf,27.3 in ** 2,21 in,21.6 in,21.625 in,8.42 in,8.375 in,0.58 in,0.5625 in,0.3125 in,0.93 in,0.9375 in,1.43 in,1.625 in,0.9375 in,4.53,32.3,2070.0 in ** 4,221.0 in ** 3,192.0 in ** 3,8.7 in,92.9 in ** 4,34.7 in ** 3,22.1 in ** 3,1.84 in,6.03 in ** 4,9940.0 in ** 6,43.5 in ** 2,85.2 in ** 4,37.7 in ** 3,109.0 in ** 3,2.24 in,20.7 in,66.5 in,74.9 in,51.6 in,60.0 in,18.375 in,5.5 in
W21X83,W,83.0 plf,24.4 in ** 2,21 in,21.4 in,21.375 in,8.36 in,8.375 in,0.515 in,0.5 in,0.25 in,0.835 in,0.8125 in,1.34 in,1.5 in,0.875 in,5.0,36.4,1830.0 in ** 4,196.0 in ** 3,171.0 in ** 3,8.67 in,81.4 in ** 4,30.5 in ** 3,19.5 in ** 3,1.83 in,4.34 in ** 4,8630.0 in ** 6,43.0 in ** 2,75.0 in ** 4,33.7 in ** 3,96.8 in ** 3,2.21 in,20.6 in,66.0 in,74.4 in,51.2 in,59.5 in,18.375 in,5.5 in
W21X73,W,73.0 plf,21.5 in ** 2,21 in,21.2 in,21.25 in,8.3 in,8.25 in,0.455 in,0.4375 in,0.25 in,0.74 in,0.75 in,1.24 in,1.4375 in,0.875 in,5.6,41.2,1600.0 in ** 4,172.0 in ** 3,151.0 in ** 3,8.64 in,70.6 in ** 4,26.6 in ** 3,17.0 in ** 3,1.81 in,3.02 in ** 4,7410.0 in ** 6,42.5 in ** 2,65.2 in ** 4,29.7 in ** 3,85.0 in ** 3,2.19 in,20.5 in,65.5 in,73.8 in,50.7 in,59.0 in,18.375 in,5.5 in
W21X68,W,68.0 plf,20.0 in ** 2,21 in,21.1 in,21.125 in,8.27 in,8.25 in,0.43 in,0.4375 in,0.25 in,0.685 in,0.6875 in,1.19 in,1.375 in,0.875 in,6.04,43.6,1480.0 in ** 4,160.0 in ** 3,140.0 in ** 3,8.6 in,64.7 in ** 4,24.4 in ** 3,15.7 in ** 3,1.8 in,2.45 in ** 4,6760.0 in ** 6,42.2 in ** 2,59.8 in ** 4,27.4 in ** 3,78.7 in ** 3,2.17 in,20.4 in,65.3 in,73.6 in,50.5 in,58.7 in,18.375 in,5.5 in
W21X62,W,62.0 plf,18.3 in ** 2,21 in,21.0 in,21.0 in,8.24 in,8.25 in,0.4 in,0.375 in,0.1875 in,0.615 in,0.625 in,1.12 in,1.3125 in,0.8125 in,6.7,46.9,1330.0 in ** 4,144.0 in ** 3,127.0 in ** 3,8.54 in,57.5 in ** 4,21.7 in ** 3,14.0 in ** 3,1.77 in,1.83 in ** 4,5960.0 in ** 6,42.0 in ** 2,53.2 in ** 4,24.6 in ** 3,71.2 in ** 3,2.15 in,20.4 in,65.1 in,73.3 in,50.2 in,58.5 in,18.375 in,5.5 in
W21X55,W,55.0 plf,16.2 in ** 2,21 in,20.8 in,20.75 in,8.22 in,8.25 in,0.375 in,0.375 in,0.1875 in,0.522 in,0.5 in,1.02 in,1.1875 in,0.8125 in,7.87,50.0,1140.0 in ** 4,126.0 in ** 3,110.0 in ** 3,8.4 in,48.4 in ** 4,18.4 in ** 3,11.8 in ** 3,1.73 in,1.24 in ** 4,4980.0 in ** 6,41.7 in ** 2,44.7 in ** 4,20.8 in ** 3,61.8 in ** 3,2.11 in,20.3 in,64.7 in,72.9 in,49.8 in,58.0 in,18.375 in,5.5 in
W21X48,W,48.0 plf,14.1 in ** 2,21 in,20.6 in,20.625 in,8.14 in,8.125 in,0.35 in,0.375 in,0.1875 in,0.43 in,0.4375 in,0.93 in,1.125 in,0.8125 in,9.47,53.6,959.0 in ** 4,107.0 in ** 3,93.0 in ** 3,8.24 in,38.7 in ** 4,14.9 in ** 3,9.52 in ** 3,1.66 in,0.803 in ** 4,3950.0 in ** 6,41.0 in ** 2,35.9 in ** 4,16.9 in ** 3,52.3 in ** 3,2.05 in,20.2 in,64.1 in,72.2 in,49.3 in,57.5 in,18.375 in,5.5 in
W21X57,W,57.0 plf,16.7 in ** 2,21 in,21.1 in,21.0 in,6.56 in,6.5 in,0.405 in,0.375 in,0.1875 in,0.65 in,0.625 in,1.15 in,1.3125 in,0.8125 in,5.04,46.3,1170.0 in ** 4,129.0 in ** 3,111.0 in ** 3,8.36 in,30.6 in ** 4,14.8 in ** 3,9.35 in ** 3,1.35 in,1.77 in ** 4,3190.0 in ** 6,33.5 in ** 2,35.8 in ** 4,20.5 in ** 3,63.4 in ** 3,1.68 in,20.5 in,60.2 in,66.8 in,48.8 in,55.3 in,18.375 in,3.5 in
