size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,x,e_o,x_p,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,S_w2,S_w3,Q_f,Q_w,r_o,H,r_ts,h_o,P_A,P_B,P_C,P_D,T
C5X6.7,C,6.7 plf,1.97 in ** 2,5 in,5.0 in,5.0 in,1.75 in,1.75 in,0.19 in,0.1875 in,0.125 in,0.32 in,0.3125 in,0.75 in,0.75 in,0.484 in,0.552 in,0.215 in,5.47,19.1,7.48 in ** 4,3.55 in ** 3,2.99 in ** 3,1.95 in,0.47 in ** 4,0.757 in ** 3,0.372 in ** 3,0.489 in,0.0549 in ** 4,2.22 in ** 6,2.36 in ** 2,0.38 in ** 4,0.224 in ** 4,0.113 in ** 4,1.17 in ** 3,1.76 in ** 3,2.26 in,0.79,0.584 in,4.68 in,14.5 in,16.3 in,11.8 in,13.5 in,3.5 in
C4X7.25,C,7.25 plf,2.13 in ** 2,4 in,4.0 in,4.0 in,1.72 in,1.75 in,0.321 in,0.3125 in,0.1875 in,0.296 in,0.3125 in,0.75 in,0.75 in,0.459 in,0.386 in,0.266 in,5.81,8.41,4.58 in ** 4,2.84 in ** 3,2.29 in ** 3,1.47 in,0.425 in ** 4,0.695 in ** 3,0.337 in ** 3,0.447 in,0.0817 in ** 4,1.24 in ** 6,1.88 in ** 2,0.281 in ** 4,0.199 in ** 4,0.101 in ** 4,0.767 in ** 3,1.41 in ** 3,1.75 in,0.767,0.563 in,3.7 in,12.4 in,14.2 in,9.72 in,11.4 in,2.5 in
C4X6.25,C,6.25 plf,1.84 in ** 2,4 in,4.0 in,4.0 in,1.65 in,1.625 in,0.247 in,0.25 in,0.125 in,0.296 in,0.3125 in,0.75 in,0.75 in,0.453 in,0.447 in,0.233 in,5.57,10.9,4.19 in ** 4,2.55 in ** 3,2.1 in ** 3,1.51 in,0.374 in ** 4,0.623 in ** 3,0.312 in ** 3,0.451 in,0.0549 in ** 4,1.07 in ** 6,1.77 in ** 2,0.25 in ** 4,0.161 in ** 4,0.0807 in ** 4,0.769 in ** 3,1.26 in ** 3,1.81 in,0.753,0.549 in,3.7 in,11.7 in,13.3 in,9.65 in,11.3 in,2.5 in
C4X5.4,C,5.4 plf,1.58 in ** 2,4 in,4.0 in,4.0 in,1.58 in,1.625 in,0.184 in,0.1875 in,0.125 in,0.296 in,0.3125 in,0.75 in,0.75 in,0.457 in,0.501 in,0.231 in,5.34,14.7,3.85 in ** 4,2.29 in ** 3,1.92 in ** 3,1.56 in,0.312 in ** 4,0.565 in ** 3,0.277 in ** 3,0.444 in,0.0399 in ** 4,0.921 in ** 6,1.66 in ** 2,0.219 in ** 4,0.123 in ** 4,0.0637 in ** 4,0.765 in ** 3,1.13 in ** 3,1.88 in,0.742,0.528 in,3.7 in,12.1 in,13.6 in,9.58 in,11.2 in,2.5 in
C4X4.5,C,4.5 plf,1.34 in ** 2,4 in,4.0 in,4.0 in,1.52 in,1.5 in,0.125 in,0.125 in,0.0625 in,0.296 in,0.3125 in,0.75 in,0.75 in,0.473 in,0.556 in,0.305 in,5.14,21.6,3.53 in ** 4,2.05 in ** 3,1.77 in ** 3,1.62 in,0.265 in ** 4,0.495 in ** 3,0.253 in ** 3,0.445 in,0.0306 in ** 4,0.778 in ** 6,1.55 in ** 2,0.193 in ** 4,0.0883 in ** 4,0.0442 in ** 4,0.765 in ** 3,1.01 in ** 3,1.97 in,0.727,0.506 in,3.7 in,11.5 in,13.0 in,9.52 in,11.0 in,2.5 in
C3X6,C,6.0 plf,1.76 in ** 2,3 in,3.0 in,3.0 in,1.6 in,1.625 in,0.356 in,0.375 in,0.1875 in,0.273 in,0.25 in,0.688 in,0.6875 in,0.455 in,0.322 in,0.294 in,5.86,5.03,2.07 in ** 4,1.74 in ** 3,1.38 in ** 3,1.09 in,0.3 in ** 4,0.543 in ** 3,0.263 in ** 3,0.413 in,0.0725 in ** 4,0.462 in ** 6,1.26 in ** 2,0.158 in ** 4,0.112 in ** 4,0.0538 in ** 4,0.463 in ** 3,0.864 in ** 3,1.4 in,0.69,0.519 in,2.73 in,10.1 in,11.7 in,7.6 in,9.2 in,1.625 in
C3X5,C,5.0 plf,1.47 in ** 2,3 in,3.0 in,3.0 in,1.5 in,1.5 in,0.258 in,0.25 in,0.125 in,0.273 in,0.25 in,0.688 in,0.6875 in,0.439 in,0.392 in,0.245 in,5.49,6.94,1.85 in ** 4,1.52 in ** 3,1.23 in ** 3,1.12 in,0.241 in ** 4,0.464 in ** 3,0.228 in ** 3,0.405 in,0.0425 in ** 4,0.379 in ** 6,1.16 in ** 2,0.135 in ** 4,0.084 in ** 4,0.0412 in ** 4,0.462 in ** 3,0.753 in ** 3,1.45 in,0.673,0.496 in,2.73 in,9.86 in,11.4 in,7.5 in,9.0 in,1.625 in
C3X4.1,C,4.1 plf,1.2 in ** 2,3 in,3.0 in,3.0 in,1.41 in,1.375 in,0.17 in,0.1875 in,0.125 in,0.273 in,0.25 in,0.688 in,0.6875 in,0.437 in,0.461 in,0.262 in,5.16,10.5,1.65 in ** 4,1.32 in ** 3,1.1 in ** 3,1.18 in,0.191 in ** 4,0.399 in ** 3,0.196 in ** 3,0.398 in,0.0269 in ** 4,0.307 in ** 6,1.06 in ** 2,0.113 in ** 4,0.0575 in ** 4,0.029 in ** 4,0.462 in ** 3,0.653 in ** 3,1.53 in,0.655,0.469 in,2.73 in,9.61 in,11.0 in,7.41 in,8.82 in,1.625 in
C3X3.5,C,3.5 plf,1.09 in ** 2,3 in,3.0 in,3.0 in,1.37 in,1.375 in,0.132 in,0.125 in,0.0625 in,0.273 in,0.25 in,0.688 in,0.6875 in,0.443 in,0.493 in,0.296 in,5.02,13.6,1.57 in ** 4,1.24 in ** 3,1.04 in ** 3,1.2 in,0.169 in ** 4,0.364 in ** 3,0.182 in ** 3,0.394 in,0.0226 in ** 4,0.276 in ** 6,1.02 in ** 2,0.103 in ** 4,0.0452 in ** 4,0.0235 in ** 4,0.461 in ** 3,0.609 in ** 3,1.57 in,0.646,0.456 in,2.73 in,9.5 in,10.9 in,7.37 in,8.74 in,1.625 in
MC18X58,MC,58.0 plf,17.1 in ** 2,18 in,18.0 in,18.0 in,4.2 in,4.25 in,0.7 in,0.6875 in,0.375 in,0.625 in,0.625 in,1.44 in,1.4375 in,0.862 in,0.695 in,0.474 in,6.72,21.6,675.0 in ** 4,95.4 in ** 3,75.0 in ** 3,6.29 in,17.6 in ** 4,10.7 in ** 3,5.28 in ** 3,1.02 in,2.81 in ** 4,1070.0 in ** 6,24.4 in ** 2,21.4 in ** 4,18.4 in ** 4,9.28 in ** 4,19.0 in ** 3,47.4 in ** 3,6.56 in,0.944,1.35 in,17.4 in,47.0 in,51.2 in,40.2 in,44.4 in,15.125 in
MC18X51.9,MC,51.9 plf,15.3 in ** 2,18 in,18.0 in,18.0 in,4.1 in,4.125 in,0.6 in,0.625 in,0.3125 in,0.625 in,0.625 in,1.44 in,1.4375 in,0.858 in,0.797 in,0.424 in,6.56,25.2,627.0 in ** 4,87.3 in ** 3,69.6 in ** 3,6.41 in,16.3 in ** 4,9.86 in ** 3,5.02 in ** 3,1.03 in,2.03 in ** 4,985.0 in ** 6,23.5 in ** 2,19.9 in ** 4,16.6 in ** 4,8.31 in ** 4,19.0 in ** 3,43.3 in ** 3,6.7 in,0.939,1.35 in,17.4 in,46.7 in,50.8 in,40.1 in,44.2 in,15.125 in
MC18X45.8,MC,45.8 plf,13.5 in ** 2,18 in,18.0 in,18.0 in,4.0 in,4.0 in,0.5 in,0.5 in,0.25 in,0.625 in,0.625 in,1.44 in,1.4375 in,0.866 in,0.909 in,0.374 in,6.4,30.2,578.0 in ** 4,79.2 in ** 3,64.2 in ** 3,6.55 in,14.9 in ** 4,9.14 in ** 3,4.77 in ** 3,1.05 in,1.45 in ** 4,897.0 in ** 6,22.5 in ** 2,18.3 in ** 4,14.6 in ** 4,7.33 in ** 4,19.0 in ** 3,39.3 in ** 3,6.87 in,0.933,1.34 in,17.4 in,46.5 in,50.5 in,40.0 in,44.0 in,15.125 in
MC18X42.7,MC,42.7 plf,12.6 in ** 2,18 in,18.0 in,18.0 in,3.95 in,4.0 in,0.45 in,0.4375 in,0.25 in,0.625 in,0.625 in,1.44 in,1.4375 in,0.877 in,0.969 in,0.349 in,6.32,33.6,554.0 in ** 4,75.1 in ** 3,61.5 in ** 3,6.64 in,14.3 in ** 4,8.82 in ** 3,4.64 in ** 3,1.07 in,1.23 in ** 4,852.0 in ** 6,22.0 in ** 2,17.4 in ** 4,13.5 in ** 4,6.83 in ** 4,19.0 in ** 3,37.2 in ** 3,6.97 in,0.93,1.34 in,17.4 in,46.3 in,50.3 in,40.0 in,43.9 in,15.125 in
MC13X50,MC,50.0 plf,14.7 in ** 2,13 in,13.0 in,13.0 in,4.41 in,4.375 in,0.787 in,0.8125 in,0.4375 in,0.61 in,0.625 in,1.44 in,1.4375 in,0.974 in,0.815 in,0.566 in,7.23,13.2,314.0 in ** 4,60.8 in ** 3,48.3 in ** 3,4.62 in,16.4 in ** 4,10.2 in ** 3,4.77 in ** 3,1.06 in,2.96 in ** 4,558.0 in ** 6,17.4 in ** 2,14.9 in ** 4,12.1 in ** 4,6.18 in ** 4,13.7 in ** 3,30.3 in ** 3,5.07 in,0.875,1.41 in,12.4 in,37.6 in,42.0 in,30.4 in,34.8 in,10.125 in
MC13X40,MC,40.0 plf,11.7 in ** 2,13 in,13.0 in,13.0 in,4.19 in,4.125 in,0.56 in,0.5625 in,0.3125 in,0.61 in,0.625 in,1.44 in,1.4375 in,0.963 in,1.03 in,0.452 in,6.87,18.5,273.0 in ** 4,51.2 in ** 3,41.9 in ** 3,4.82 in,13.7 in ** 4,8.66 in ** 3,4.24 in ** 3,1.08 in,1.55 in ** 4,462.0 in ** 6,16.1 in ** 2,12.8 in ** 4,9.54 in ** 4,4.56 in ** 4,13.7 in ** 3,25.5 in ** 3,5.32 in,0.859,1.38 in,12.4 in,37.0 in,41.1 in,30.2 in,34.4 in,10.125 in
MC13X35,MC,35.0 plf,10.3 in ** 2,13 in,13.0 in,13.0 in,4.07 in,4.125 in,0.447 in,0.4375 in,0.25 in,0.61 in,0.625 in,1.44 in,1.4375 in,0.98 in,1.16 in,0.396 in,6.67,23.2,252.0 in ** 4,46.5 in ** 3,38.8 in ** 3,4.95 in,12.3 in ** 4,8.04 in ** 3,3.97 in ** 3,1.09 in,1.13 in ** 4,412.0 in ** 6,15.3 in ** 2,11.5 in ** 4,7.85 in ** 4,4.04 in ** 4,13.7 in ** 3,23.1 in ** 3,5.5 in,0.849,1.35 in,12.4 in,36.7 in,40.7 in,30.1 in,34.1 in,10.125 in
MC13X31.8,MC,31.8 plf,9.35 in ** 2,13 in,13.0 in,13.0 in,4.0 in,4.0 in,0.375 in,0.375 in,0.1875 in,0.61 in,0.625 in,1.44 in,1.4375 in,1.0 in,1.24 in,0.36 in,6.56,27.6,239.0 in ** 4,43.4 in ** 3,36.7 in ** 3,5.05 in,11.4 in ** 4,7.69 in ** 3,3.79 in ** 3,1.1 in,0.937 in ** 4,380.0 in ** 6,14.8 in ** 2,10.8 in ** 4,6.9 in ** 4,3.39 in ** 4,13.7 in ** 3,21.6 in ** 3,5.64 in,0.842,1.34 in,12.4 in,36.5 in,40.5 in,30.0 in,34.0 in,10.125 in
MC12X50,MC,50.0 plf,14.7 in ** 2,12 in,12.0 in,12.0 in,4.14 in,4.125 in,0.835 in,0.8125 in,0.4375 in,0.7 in,0.6875 in,1.31 in,1.3125 in,1.05 in,0.741 in,0.613 in,5.91,11,269.0 in ** 4,56.5 in ** 3,44.9 in ** 3,4.28 in,17.4 in ** 4,10.9 in ** 3,5.64 in ** 3,1.09 in,3.23 in ** 4,411.0 in ** 6,14.5 in ** 2,13.0 in ** 4,10.3 in ** 4,5.14 in ** 4,13.1 in ** 3,28.1 in ** 3,4.77 in,0.859,1.37 in,11.3 in,35.0 in,39.1 in,28.1 in,32.3 in,9.375 in
MC12X45,MC,45.0 plf,13.2 in ** 2,12 in,12.0 in,12.0 in,4.01 in,4.0 in,0.71 in,0.6875 in,0.375 in,0.7 in,0.6875 in,1.31 in,1.3125 in,1.04 in,0.844 in,0.55 in,5.73,13,251.0 in ** 4,52.0 in ** 3,41.9 in ** 3,4.36 in,15.8 in ** 4,10.1 in ** 3,5.3 in ** 3,1.09 in,2.33 in ** 4,373.0 in ** 6,13.9 in ** 2,11.9 in ** 4,9.09 in ** 4,4.5 in ** 4,13.1 in ** 3,25.8 in ** 3,4.88 in,0.851,1.35 in,11.3 in,34.6 in,38.6 in,28.0 in,32.0 in,9.375 in
MC12X40,MC,40.0 plf,11.8 in ** 2,12 in,12.0 in,12.0 in,3.89 in,3.875 in,0.59 in,0.5625 in,0.3125 in,0.7 in,0.6875 in,1.31 in,1.3125 in,1.04 in,0.952 in,0.49 in,5.56,15.6,234.0 in ** 4,47.7 in ** 3,39.0 in ** 3,4.46 in,14.2 in ** 4,9.31 in ** 3,4.98 in ** 3,1.1 in,1.69 in ** 4,336.0 in ** 6,13.3 in ** 2,10.9 in ** 4,7.83 in ** 4,3.91 in ** 4,13.1 in ** 3,23.7 in ** 3,5.01 in,0.842,1.33 in,11.3 in,34.3 in,38.2 in,27.9 in,31.8 in,9.375 in
MC12X35,MC,35.0 plf,10.3 in ** 2,12 in,12.0 in,12.0 in,3.77 in,3.75 in,0.465 in,0.4375 in,0.25 in,0.7 in,0.6875 in,1.31 in,1.3125 in,1.05 in,1.07 in,0.428 in,5.39,19.8,216.0 in ** 4,43.2 in ** 3,36.0 in ** 3,4.59 in,12.6 in ** 4,8.62 in ** 3,4.64 in ** 3,1.11 in,1.24 in ** 4,297.0 in ** 6,12.6 in ** 2,9.88 in ** 4,6.52 in ** 4,3.15 in ** 4,13.1 in ** 3,21.4 in ** 3,5.18 in,0.831,1.3 in,11.3 in,34.0 in,37.7 in,27.8 in,31.5 in,9.375 in
MC12X31,MC,31.0 plf,9.12 in ** 2,12 in,12.0 in,12.0 in,3.67 in,3.625 in,0.37 in,0.375 in,0.1875 in,0.7 in,0.6875 in,1.31 in,1.3125 in,1.08 in,1.17 in,0.425 in,5.24,24.9,202.0 in ** 4,39.7 in ** 3,33.7 in ** 3,4.71 in,11.3 in ** 4,8.15 in ** 3,4.37 in ** 3,1.11 in,1.0 in ** 4,267.0 in ** 6,12.0 in ** 2,8.97 in ** 4,5.34 in ** 4,2.66 in ** 4,13.1 in ** 3,19.7 in ** 3,5.34 in,0.822,1.28 in,11.3 in,33.7 in,37.4 in,27.7 in,31.3 in,9.375 in
MC12X14.3,MC,14.3 plf,4.18 in ** 2,12 in,12.0 in,12.0 in,2.12 in,2.125 in,0.25 in,0.25 in,0.125 in,0.313 in,0.3125 in,0.75 in,0.75 in,0.377 in,0.435 in,0.174 in,6.77,42.6,76.1 in ** 4,15.9 in ** 3,12.7 in ** 3,4.27 in,1.0 in ** 4,1.21 in ** 3,0.574 in ** 3,0.489 in,0.117 in ** 4,32.8 in ** 6,8.39 in ** 2,1.89 in ** 4,1.6 in ** 4,0.796 in ** 4,3.42 in ** 3,7.92 in ** 3,4.37 in,0.965,0.672 in,11.7 in,29.0 in,31.1 in,26.1 in,28.2 in,10.5 in
MC12X10.6,MC,10.6 plf,3.1 in ** 2,12 in,12.0 in,12.0 in,1.5 in,1.5 in,0.19 in,0.1875 in,0.125 in,0.309 in,0.3125 in,0.75 in,0.75 in,0.269 in,0.284 in,0.129 in,4.85,56.5,55.3 in ** 4,11.6 in ** 3,9.22 in ** 3,4.22 in,0.378 in ** 4,0.635 in ** 3,0.307 in ** 3,0.349 in,0.0596 in ** 4,11.7 in ** 6,6.0 in ** 2,0.951 in ** 4,0.822 in ** 4,0.41 in ** 4,2.37 in ** 3,5.79 in ** 3,4.27 in,0.983,0.478 in,11.7 in,27.8 in,29.3 in,25.5 in,27.0 in,10.5 in
MC10X41.1,MC,41.1 plf,12.1 in ** 2,10 in,10.0 in,10.0 in,4.32 in,4.375 in,0.796 in,0.8125 in,0.4375 in,0.575 in,0.5625 in,1.31 in,1.3125 in,1.09 in,0.864 in,0.604 in,7.51,9.15,157.0 in ** 4,39.3 in ** 3,31.5 in ** 3,3.61 in,15.7 in ** 4,9.49 in ** 3,4.85 in ** 3,1.14 in,2.26 in ** 4,269.0 in ** 6,12.5 in ** 2,9.59 in ** 4,7.43 in ** 4,3.74 in ** 4,9.55 in ** 3,19.5 in ** 3,4.26 in,0.79,1.44 in,9.43 in,31.4 in,35.7 in,24.3 in,28.6 in,7.375 in
MC10X33.6,MC,33.6 plf,9.87 in ** 2,10 in,10.0 in,10.0 in,4.1 in,4.125 in,0.575 in,0.5625 in,0.3125 in,0.575 in,0.5625 in,1.31 in,1.3125 in,1.09 in,1.06 in,0.494 in,7.13,12.7,139.0 in ** 4,33.7 in ** 3,27.8 in ** 3,3.75 in,13.1 in ** 4,8.28 in ** 3,4.35 in ** 3,1.15 in,1.2 in ** 4,224.0 in ** 6,11.6 in ** 2,8.24 in ** 4,5.78 in ** 4,2.83 in ** 4,9.55 in ** 3,16.7 in ** 3,4.47 in,0.77,1.4 in,9.43 in,30.8 in,34.9 in,24.1 in,28.2 in,7.375 in
MC10X28.5,MC,28.5 plf,8.37 in ** 2,10 in,10.0 in,10.0 in,3.95 in,4.0 in,0.425 in,0.4375 in,0.25 in,0.575 in,0.5625 in,1.31 in,1.3125 in,1.12 in,1.21 in,0.419 in,6.87,17.1,126.0 in ** 4,30.0 in ** 3,25.3 in ** 3,3.89 in,11.3 in ** 4,7.59 in ** 3,3.99 in ** 3,1.16 in,0.791 in ** 4,193.0 in ** 6,10.9 in ** 2,7.26 in ** 4,4.52 in ** 4,2.2 in ** 4,9.55 in ** 3,14.9 in ** 3,4.68 in,0.752,1.36 in,9.43 in,30.4 in,34.3 in,24.0 in,27.9 in,7.375 in
MC10X25,MC,25.0 plf,7.34 in ** 2,10 in,10.0 in,10.0 in,3.41 in,3.375 in,0.38 in,0.375 in,0.1875 in,0.575 in,0.5625 in,1.31 in,1.3125 in,0.953 in,1.03 in,0.367 in,5.93,19.4,110.0 in ** 4,26.2 in ** 3,22.0 in ** 3,3.87 in,7.25 in ** 4,5.65 in ** 3,2.96 in ** 3,0.993 in,0.638 in ** 4,124.0 in ** 6,9.43 in ** 2,5.42 in ** 4,3.4 in ** 4,1.75 in ** 4,8.21 in ** 3,13.0 in ** 3,4.46 in,0.803,1.17 in,9.43 in,28.9 in,32.3 in,23.4 in,26.8 in,7.375 in
MC10X22,MC,22.0 plf,6.45 in ** 2,10 in,10.0 in,10.0 in,3.32 in,3.375 in,0.29 in,0.3125 in,0.1875 in,0.575 in,0.5625 in,1.31 in,1.3125 in,0.99 in,1.12 in,0.467 in,5.77,25.4,102.0 in ** 4,23.9 in ** 3,20.5 in ** 3,3.99 in,6.4 in ** 4,5.29 in ** 3,2.75 in ** 3,0.997 in,0.51 in ** 4,110.0 in ** 6,9.0 in ** 2,4.95 in ** 4,2.78 in ** 4,1.3 in ** 4,8.21 in ** 3,11.8 in ** 3,4.62 in,0.791,1.14 in,9.43 in,28.7 in,32.0 in,23.3 in,26.6 in,7.375 in
MC10X8.4,MC,8.4 plf,2.46 in ** 2,10 in,10.0 in,10.0 in,1.5 in,1.5 in,0.17 in,0.1875 in,0.125 in,0.28 in,0.25 in,0.75 in,0.75 in,0.284 in,0.332 in,0.123 in,5.36,51.7,31.9 in ** 4,7.92 in ** 3,6.39 in ** 3,3.61 in,0.326 in ** 4,0.548 in ** 3,0.268 in ** 3,0.364 in,0.0413 in ** 4,7.0 in ** 6,4.85 in ** 2,0.678 in ** 4,0.559 in ** 4,0.278 in ** 4,1.81 in ** 3,3.93 in ** 3,3.68 in,0.972,0.486 in,9.72 in,23.8 in,25.3 in,21.5 in,23.0 in,8.5 in
MC10X6.5,MC,6.5 plf,1.95 in ** 2,10 in,10.0 in,10.0 in,1.17 in,1.125 in,0.152 in,0.125 in,0.0625 in,0.202 in,0.1875 in,0.563 in,0.5625 in,0.194 in,0.182 in,0.0975 in,5.79,59.2,22.9 in ** 4,5.9 in ** 3,4.59 in ** 3,3.43 in,0.133 in ** 4,0.284 in ** 3,0.137 in ** 3,0.262 in,0.0191 in ** 4,2.76 in ** 6,4.1 in ** 2,0.346 in ** 4,0.313 in ** 4,0.158 in ** 4,1.01 in ** 3,2.91 in ** 3,3.46 in,0.988,0.363 in,9.8 in,22.6 in,23.8 in,21.2 in,22.3 in,8.875 in
MC9X25.4,MC,25.4 plf,7.47 in ** 2,9 in,9.0 in,9.0 in,3.5 in,3.5 in,0.45 in,0.4375 in,0.25 in,0.55 in,0.5625 in,1.25 in,1.25 in,0.97 in,0.986 in,0.415 in,6.36,14.4,87.9 in ** 4,23.5 in ** 3,19.5 in ** 3,3.43 in,7.57 in ** 4,5.7 in ** 3,2.99 in ** 3,1.01 in,0.691 in ** 4,104.0 in ** 6,8.72 in ** 2,4.95 in ** 4,3.25 in ** 4,1.61 in ** 4,7.09 in ** 3,11.6 in ** 3,4.08 in,0.77,1.2 in,8.45 in,27.2 in,30.7 in,21.5 in,25.0 in,6.5 in
MC9X23.9,MC,23.9 plf,7.02 in ** 2,9 in,9.0 in,9.0 in,3.45 in,3.5 in,0.4 in,0.375 in,0.1875 in,0.55 in,0.5625 in,1.25 in,1.25 in,0.981 in,1.04 in,0.39 in,6.27,16.1,84.9 in ** 4,22.5 in ** 3,18.9 in ** 3,3.48 in,7.14 in ** 4,5.51 in ** 3,2.89 in ** 3,1.01 in,0.599 in ** 4,98.0 in ** 6,8.49 in ** 2,4.69 in ** 4,2.91 in ** 4,1.52 in ** 4,7.09 in ** 3,11.1 in ** 3,4.15 in,0.763,1.18 in,8.45 in,27.0 in,30.5 in,21.5 in,24.9 in,6.5 in
MC8X22.8,MC,22.8 plf,6.7 in ** 2,8 in,8.0 in,8.0 in,3.5 in,3.5 in,0.427 in,0.4375 in,0.25 in,0.525 in,0.5 in,1.19 in,1.1875 in,1.01 in,1.04 in,0.419 in,6.67,13,63.8 in ** 4,19.1 in ** 3,15.9 in ** 3,3.09 in,7.01 in ** 4,5.37 in ** 3,2.81 in ** 3,1.02 in,0.572 in ** 4,75.2 in ** 6,7.6 in ** 2,4.06 in ** 4,2.52 in ** 4,1.22 in ** 4,6.03 in ** 3,9.45 in ** 3,3.84 in,0.715,1.2 in,7.48 in,25.2 in,28.7 in,19.5 in,23.0 in,5.625 in
MC8X21.4,MC,21.4 plf,6.28 in ** 2,8 in,8.0 in,8.0 in,3.45 in,3.5 in,0.375 in,0.375 in,0.1875 in,0.525 in,0.5 in,1.19 in,1.1875 in,1.02 in,1.09 in,0.452 in,6.57,14.8,61.5 in ** 4,18.2 in ** 3,15.4 in ** 3,3.13 in,6.58 in ** 4,5.18 in ** 3,2.71 in ** 3,1.02 in,0.495 in ** 4,70.8 in ** 6,7.42 in ** 2,3.87 in ** 4,2.27 in ** 4,1.08 in ** 4,6.03 in ** 3,9.03 in ** 3,3.91 in,0.707,1.18 in,7.48 in,25.1 in,28.5 in,19.5 in,22.9 in,5.625 in
MC8X20,MC,20.0 plf,5.87 in ** 2,8 in,8.0 in,8.0 in,3.03 in,3.0 in,0.4 in,0.375 in,0.1875 in,0.5 in,0.5 in,1.13 in,1.125 in,0.84 in,0.843 in,0.367 in,6.06,14.3,54.4 in ** 4,16.4 in ** 3,13.6 in ** 3,3.04 in,4.42 in ** 4,3.86 in ** 3,2.02 in ** 3,0.867 in,0.441 in ** 4,47.8 in ** 6,6.7 in ** 2,2.99 in ** 4,1.97 in ** 4,0.963 in ** 4,4.93 in ** 3,8.13 in ** 3,3.58 in,0.779,1.03 in,7.5 in,23.9 in,27.0 in,19.0 in,22.1 in,5.75 in
