Index,AISC_Manual_Label,Type,W,A,OD,ID,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
Pipe20SCH30,Pipe20XS,PIPE,104.0 plf,27.6 in ** 2,20.0 in,19.1 in,0.5 in,0.465 in,43.0,1320.0 in ** 4,172.0 in ** 3,132.0 in ** 3,6.91 in,1320.0 in ** 4,172.0 in ** 3,132.0 in ** 3,6.91 in,2640.0 in ** 4,264.0 in ** 3
Pipe18XS,Pipe18XS,PIPE,93.5 plf,24.8 in ** 2,18.0 in,17.1 in,0.5 in,0.465 in,38.7,956.0 in ** 4,139.0 in ** 3,106.0 in ** 3,6.21 in,956.0 in ** 4,139.0 in ** 3,106.0 in ** 3,6.21 in,1910.0 in ** 4,212.222222222222 in ** 3
Pipe16SCH40,Pipe16XS,PIPE,82.9 plf,22.0 in ** 2,16.0 in,15.1 in,0.5 in,0.465 in,34.4,665.0 in ** 4,109.0 in ** 3,83.1 in ** 3,5.5 in,665.0 in ** 4,109.0 in ** 3,83.1 in ** 3,5.5 in,1330.0 in ** 4,166.25 in ** 3
Pipe14XS,Pipe14XS,PIPE,72.2 plf,19.2 in ** 2,14.0 in,13.1 in,0.5 in,0.465 in,30.1,440.0 in ** 4,82.7 in ** 3,62.9 in ** 3,4.79 in,440.0 in ** 4,82.7 in ** 3,62.9 in ** 3,4.79 in,880.0 in ** 4,125.714285714286 in ** 3
Pipe12XS,Pipe12XS,PIPE,65.5 plf,17.5 in ** 2,12.75 in,11.8 in,0.5 in,0.465 in,27.4,339.0 in ** 4,70.2 in ** 3,53.2 in ** 3,4.35 in,339.0 in ** 4,70.2 in ** 3,53.2 in ** 3,4.35 in,678.0 in ** 4,106.352941176471 in ** 3
Pipe10SCH80,Pipe10XS,PIPE,54.8 plf,15.1 in ** 2,10.75 in,9.75 in,0.5 in,0.465 in,23.1,199.0 in ** 4,49.2 in ** 3,37.0 in ** 3,3.64 in,199.0 in ** 4,49.2 in ** 3,37.0 in ** 3,3.64 in,398.0 in ** 4,74.046511627907 in ** 3
Pipe8SCH80,Pipe8XS,PIPE,43.4 plf,11.9 in ** 2,8.625 in,7.63 in,0.5 in,0.465 in,18.5,100.0 in ** 4,31.0 in ** 3,23.1 in ** 3,2.89 in,100.0 in ** 4,31.0 in ** 3,23.1 in ** 3,2.89 in,199.0 in ** 4,46.1449275362319 in ** 3
Pipe6SCH80,Pipe6XS,PIPE,28.6 plf,7.83 in ** 2,6.625 in,5.76 in,0.432 in,0.403 in,16.4,38.3 in ** 4,15.6 in ** 3,11.6 in ** 3,2.2 in,38.3 in ** 4,15.6 in ** 3,11.6 in ** 3,2.2 in,76.6 in ** 4,23.1245283018868 in ** 3
Pipe5SCH80,Pipe5XS,PIPE,20.8 plf,5.73 in ** 2,5.563 in,4.81 in,0.375 in,0.349 in,15.9,19.5 in ** 4,9.5 in ** 3,7.02 in ** 3,1.85 in,19.5 in ** 4,9.5 in ** 3,7.02 in ** 3,1.85 in,39.0 in ** 4,14.0212115764875 in ** 3
Pipe4SCH80,Pipe4XS,PIPE,15.0 plf,4.14 in ** 2,4.5 in,3.83 in,0.337 in,0.315 in,14.3,9.12 in ** 4,5.53 in ** 3,4.05 in ** 3,1.48 in,9.12 in ** 4,5.53 in ** 3,4.05 in ** 3,1.48 in,18.2 in ** 4,8.08888888888889 in ** 3
Pipe3-1/2SCH80,Pipe3-1/2XS,PIPE,12.5 plf,3.43 in ** 2,4.0 in,3.36 in,0.318 in,0.296 in,13.5,5.94 in ** 4,4.07 in ** 3,2.97 in ** 3,1.31 in,5.94 in ** 4,4.07 in ** 3,2.97 in ** 3,1.31 in,11.9 in ** 4,5.95 in ** 3
Pipe3SCH80,Pipe3XS,PIPE,10.3 plf,2.83 in ** 2,3.5 in,2.9 in,0.3 in,0.28 in,12.5,3.7 in ** 4,2.91 in ** 3,2.11 in ** 3,1.14 in,3.7 in ** 4,2.91 in ** 3,2.11 in ** 3,1.14 in,7.4 in ** 4,4.22857142857143 in ** 3
Pipe2-1/2SCH80,Pipe2-1/2XS,PIPE,7.67 plf,2.1 in ** 2,2.875 in,2.32 in,0.276 in,0.257 in,11.2,1.83 in ** 4,1.77 in ** 3,1.27 in ** 3,0.93 in,1.83 in ** 4,1.77 in ** 3,1.27 in ** 3,0.93 in,3.66 in ** 4,2.54608695652174 in ** 3
Pipe2SCH80,Pipe2XS,PIPE,5.03 plf,1.4 in ** 2,2.375 in,1.94 in,0.218 in,0.204 in,11.7,0.827 in ** 4,0.964 in ** 3,0.696 in ** 3,0.771 in,0.827 in ** 4,0.964 in ** 3,0.696 in ** 3,0.771 in,1.65 in ** 4,1.38947368421053 in ** 3
Pipe1-1/2SCH80,Pipe1-1/2XS,PIPE,3.63 plf,1.0 in ** 2,1.9 in,1.5 in,0.2 in,0.186 in,10.2,0.372 in ** 4,0.549 in ** 3,0.392 in ** 3,0.61 in,0.372 in ** 4,0.549 in ** 3,0.392 in ** 3,0.61 in,0.744 in ** 4,0.783157894736842 in ** 3
Pipe1-1/4SCH80,Pipe1-1/4XS,PIPE,3.0 plf,0.837 in ** 2,1.66 in,1.28 in,0.191 in,0.178 in,9.33,0.231 in ** 4,0.393 in ** 3,0.278 in ** 3,0.528 in,0.231 in ** 4,0.393 in ** 3,0.278 in ** 3,0.528 in,0.462 in ** 4,0.556626506024097 in ** 3
Pipe1SCH80,Pipe1XS,PIPE,2.17 plf,0.602 in ** 2,1.315 in,0.957 in,0.179 in,0.166 in,7.92,0.101 in ** 4,0.221 in ** 3,0.154 in ** 3,0.41 in,0.101 in ** 4,0.221 in ** 3,0.154 in ** 3,0.41 in,0.202 in ** 4,0.307224334600761 in ** 3
Pipe3/4SCH80,Pipe3/4XS,PIPE,1.48 plf,0.407 in ** 2,1.05 in,0.742 in,0.154 in,0.143 in,7.34,0.043 in ** 4,0.119 in ** 3,0.0818 in ** 3,0.325 in,0.043 in ** 4,0.119 in ** 3,0.0818 in ** 3,0.325 in,0.086 in ** 4,0.163809523809524 in ** 3
Pipe1/2SCH80,Pipe1/2XS,PIPE,1.09 plf,0.303 in ** 2,0.84 in,0.546 in,0.147 in,0.137 in,6.13,0.019 in ** 4,0.0686 in ** 3,0.0462 in ** 3,0.253 in,0.019 in ** 4,0.0686 in ** 3,0.0462 in ** 3,0.253 in,0.038 in ** 4,0.0904761904761905 in ** 3
Pipe12SCH120,Pipe12XXS,PIPE,126.0 plf,35.4 in ** 2,12.75 in,10.9 in,1.0 in,0.93 in,13.8,625.0 in ** 4,134.0 in ** 3,97.6 in ** 3,4.2 in,625.0 in ** 4,134.0 in ** 3,97.6 in ** 3,4.2 in,1250.0 in ** 4,196.078431372549 in ** 3
Pipe10SCH140,Pipe10XXS,PIPE,104.0 plf,28.8 in ** 2,10.75 in,8.94 in,1.0 in,0.93 in,11.6,354.0 in ** 4,90.9 in ** 3,65.6 in ** 3,3.51 in,354.0 in ** 4,90.9 in ** 3,65.6 in ** 3,3.51 in,709.0 in ** 4,131.906976744186 in ** 3
Pipe8XXS,Pipe8XXS,PIPE,72.5 plf,20.0 in ** 2,8.625 in,6.88 in,0.875 in,0.816 in,10.6,154.0 in ** 4,49.9 in ** 3,35.8 in ** 3,2.78 in,154.0 in ** 4,49.9 in ** 3,35.8 in ** 3,2.78 in,308.0 in ** 4,71.4202898550725 in ** 3
Pipe6XXS,Pipe6XXS,PIPE,53.2 plf,14.7 in ** 2,6.625 in,4.9 in,0.864 in,0.805 in,8.23,63.5 in ** 4,27.4 in ** 3,19.2 in ** 3,2.08 in,63.5 in ** 4,27.4 in ** 3,19.2 in ** 3,2.08 in,127.0 in ** 4,38.3396226415094 in ** 3
Pipe5XXS,Pipe5XXS,PIPE,38.6 plf,10.7 in ** 2,5.563 in,4.06 in,0.75 in,0.699 in,7.96,32.2 in ** 4,16.7 in ** 3,11.6 in ** 3,1.74 in,32.2 in ** 4,16.7 in ** 3,11.6 in ** 3,1.74 in,64.4 in ** 4,23.1529750134819 in ** 3
Pipe4XXS,Pipe4XXS,PIPE,27.6 plf,7.66 in ** 2,4.5 in,3.15 in,0.674 in,0.628 in,7.17,14.7 in ** 4,9.5 in ** 3,6.53 in ** 3,1.39 in,14.7 in ** 4,9.5 in ** 3,6.53 in ** 3,1.39 in,29.4 in ** 4,13.0666666666667 in ** 3
Pipe3XXS,Pipe3XXS,PIPE,18.6 plf,5.17 in ** 2,3.5 in,2.3 in,0.6 in,0.559 in,6.26,5.79 in ** 4,4.89 in ** 3,3.31 in ** 3,1.06 in,5.79 in ** 4,4.89 in ** 3,3.31 in ** 3,1.06 in,11.6 in ** 4,6.62857142857143 in ** 3
Pipe2-1/2XXS,Pipe2-1/2XXS,PIPE,13.7 plf,3.83 in ** 2,2.875 in,1.77 in,0.552 in,0.514 in,5.59,2.78 in ** 4,2.91 in ** 3,1.94 in ** 3,0.854 in,2.78 in ** 4,2.91 in ** 3,1.94 in ** 3,0.854 in,5.56 in ** 4,3.86782608695652 in ** 3
Pipe2XXS,Pipe2XXS,PIPE,9.04 plf,2.51 in ** 2,2.375 in,1.5 in,0.436 in,0.406 in,5.85,1.27 in ** 4,1.6 in ** 3,1.07 in ** 3,0.711 in,1.27 in ** 4,1.6 in ** 3,1.07 in ** 3,0.711 in,2.54 in ** 4,2.13894736842105 in ** 3
