Index,AISC_Manual_Label,Type,W,A,OD,ID,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS4.5X.125,HSS4.500X0.125,RoundHSS,5.85 plf,1.6 in ** 2,4.5 in,4.268 in,0.125 in,0.116 in,38.8,3.84 in ** 4,2.23 in ** 3,1.71 in ** 3,1.55 in,3.84 in ** 4,2.23 in ** 3,1.71 in ** 3,1.55 in,7.68 in ** 4,3.41 in ** 3
HSS4X.313,HSS4.000X0.313,RoundHSS,12.34 plf,3.39 in ** 2,4.0 in,3.418 in,0.313 in,0.291 in,13.7,5.87 in ** 4,4.01 in ** 3,2.93 in ** 3,1.32 in,5.87 in ** 4,4.01 in ** 3,2.93 in ** 3,1.32 in,11.7 in ** 4,5.87 in ** 3
HSS4X.250,HSS4.000X0.250,RoundHSS,10.0 plf,2.76 in ** 2,4.0 in,3.534 in,0.25 in,0.233 in,17.2,4.91 in ** 4,3.31 in ** 3,2.45 in ** 3,1.33 in,4.91 in ** 4,3.31 in ** 3,2.45 in ** 3,1.33 in,9.82 in ** 4,4.91 in ** 3
HSS4X.237,HSS4.000X0.237,RoundHSS,9.53 plf,2.61 in ** 2,4.0 in,3.56 in,0.237 in,0.22 in,18.2,4.68 in ** 4,3.15 in ** 3,2.34 in ** 3,1.34 in,4.68 in ** 4,3.15 in ** 3,2.34 in ** 3,1.34 in,9.36 in ** 4,4.68 in ** 3
HSS4X.226,HSS4.000X0.226,RoundHSS,9.12 plf,2.5 in ** 2,4.0 in,3.58 in,0.226 in,0.21 in,19.0,4.5 in ** 4,3.02 in ** 3,2.25 in ** 3,1.34 in,4.5 in ** 4,3.02 in ** 3,2.25 in ** 3,1.34 in,9.01 in ** 4,4.5 in ** 3
HSS4X.220,HSS4.000X0.220,RoundHSS,8.89 plf,2.44 in ** 2,4.0 in,3.59 in,0.22 in,0.205 in,19.5,4.41 in ** 4,2.96 in ** 3,2.21 in ** 3,1.34 in,4.41 in ** 4,2.96 in ** 3,2.21 in ** 3,1.34 in,8.83 in ** 4,4.41 in ** 3
HSS4X.188,HSS4.000X0.188,RoundHSS,7.66 plf,2.09 in ** 2,4.0 in,3.652 in,0.188 in,0.174 in,23.0,3.83 in ** 4,2.55 in ** 3,1.92 in ** 3,1.35 in,3.83 in ** 4,2.55 in ** 3,1.92 in ** 3,1.35 in,7.67 in ** 4,3.83 in ** 3
HSS4X.125,HSS4.000X0.125,RoundHSS,5.18 plf,1.42 in ** 2,4.0 in,3.768 in,0.125 in,0.116 in,34.5,2.67 in ** 4,1.75 in ** 3,1.34 in ** 3,1.37 in,2.67 in ** 4,1.75 in ** 3,1.34 in ** 3,1.37 in,5.34 in ** 4,2.67 in ** 3
HSS3.5X.313,HSS3.500X0.313,RoundHSS,10.66 plf,2.93 in ** 2,3.5 in,2.918 in,0.313 in,0.291 in,12.0,3.81 in ** 4,3.0 in ** 3,2.18 in ** 3,1.14 in,3.81 in ** 4,3.0 in ** 3,2.18 in ** 3,1.14 in,7.61 in ** 4,4.35 in ** 3
HSS3.5X.300,HSS3.500X0.300,RoundHSS,10.26 plf,2.82 in ** 2,3.5 in,2.942 in,0.3 in,0.279 in,12.5,3.69 in ** 4,2.9 in ** 3,2.11 in ** 3,1.14 in,3.69 in ** 4,2.9 in ** 3,2.11 in ** 3,1.14 in,7.38 in ** 4,4.22 in ** 3
HSS3.5X.250,HSS3.500X0.250,RoundHSS,8.69 plf,2.39 in ** 2,3.5 in,3.034 in,0.25 in,0.233 in,15.0,3.21 in ** 4,2.49 in ** 3,1.83 in ** 3,1.16 in,3.21 in ** 4,2.49 in ** 3,1.83 in ** 3,1.16 in,6.41 in ** 4,3.66 in ** 3
HSS3.5X.216,HSS3.500X0.216,RoundHSS,7.58 plf,2.08 in ** 2,3.5 in,3.098 in,0.216 in,0.201 in,17.4,2.84 in ** 4,2.19 in ** 3,1.63 in ** 3,1.17 in,2.84 in ** 4,2.19 in ** 3,1.63 in ** 3,1.17 in,5.69 in ** 4,3.25 in ** 3
HSS3.5X.203,HSS3.500X0.203,RoundHSS,7.15 plf,1.97 in ** 2,3.5 in,3.122 in,0.203 in,0.189 in,18.5,2.7 in ** 4,2.07 in ** 3,1.54 in ** 3,1.17 in,2.7 in ** 4,2.07 in ** 3,1.54 in ** 3,1.17 in,5.41 in ** 4,3.09 in ** 3
